__MOL_ID__	ACTIVITY	LCALC_STRAIN	LCALC_FE	LCALC_NA	LCALC_ND	LCALC_NDA	LCALC_NH	LCALC_NHE	LCALC_NRB	LCALC_NR	LCALC_NAR	LCALC_SA	LCALC_PSA	LCALC_EHSA	LCALC_VDWVOL	LCALC_SAVOL	LCALC_MLOGP	LCALC_MSOL	LCALC_NO	LCALC_SLOGP	LCALC_SSOL	LCALC_NPSA	LCALC_RGYRATION	LCALC_NSTEREO
COO_23A	7.92	5.89	39.5	8	3	11	36	12	14	2	1	853.2	290.8	-190.3	517.9	1519.2	1	0.000188	12	-0.3	0.00234	562.5	5.8	3
COO_23E	5.6	3.28	37.2	8	1	9	34	11	9	3	1	813.1	193.3	-121.6	482.7	1416.8	1.5	0.000119	11	0.5	0.000854	619.8	5.9	3
COO_23J	6.41	5.5	31	8	2	10	32	11	10	2	1	750.7	237.1	-133.2	453.7	1343.3	1.1	0.000432	11	-0.3	0.00623	513.6	6	3
COO_24A	5.6	6.72	41.8	8	3	11	40	12	14	3	2	876.3	295.7	-193.8	569.7	1616.5	1.8	1.56e-05	12	0.7	0.000153	580.6	5.8	3
COO_24C	9.6	7.05	36.4	8	2	10	42	11	12	4	3	870	234.3	-136.3	597.3	1643.2	2.9	1.36e-06	11	2.4	3.96e-06	635.7	5.8	3
COO_25A	8.46	6.27	42.2	8	3	11	40	12	14	3	1	872.7	240.5	-155.5	575.8	1615.8	1.8	1.54e-05	12	1.1	6.48e-05	632.2	5.9	5
COO_25E	7.82	5.46	39.9	8	1	9	38	11	9	4	1	829.7	155	-96.7	540.4	1520.4	2.3	9.5e-06	11	1.9	2.36e-05	674.6	6	5
COO_26A	7.92	5.67	38.7	6	3	9	30	10	11	2	0	695.4	263.6	-208.1	427.7	1224	0	0.00499	10	-0.8	0.0254	431.9	4.7	5
COO_26C	7.0	12.41	33.3	6	2	8	32	9	9	3	1	718.4	204.4	-149.8	456.3	1273.8	1.1	0.000393	9	0.9	0.000657	514	4.7	5
COO_26H	6.66	12.03	33.3	6	2	8	32	9	9	3	1	752.6	211.3	-154.9	456.4	1287.6	1.1	0.000393	9	0.9	0.000657	541.3	4.9	5
SQ29852	7.44	2.06	39.1	6	1	7	30	9	13	2	1	853.6	202.6	-164.4	462.3	1359.1	2.3	4.06e-05	8	2.1	6.21e-05	650.9	5.8	2
SQ29852_2A	8.49	3.41	42.9	6	1	7	36	9	14	3	1	1001.4	206.1	-156.3	565.5	1620.7	3.6	8.63e-07	8	4.8	7.95e-08	795.3	6.4	3
SQ29852_2B	9.31	224.72	42.9	6	1	7	36	9	14	3	1	934	178.8	-142.4	563	1609	3.6	8.63e-07	8	4.8	7.95e-08	755.2	6.6	3
SQ29852_2E	8.97	6.42	40.1	6	1	7	33	9	14	2	2	847.4	191.1	-159.5	506.8	1448.7	3.4	2.7e-06	8	2.7	1.01e-05	656.3	5.9	1
SQ29852_2G	9.54	6.44	43.7	8	1	9	37	11	14	2	2	936.9	213.5	-162.3	557.6	1596.5	2.9	2.75e-06	10	2.4	7.43e-06	723.5	6.3	1
SQ29852_2H	9.94	6.6	45.5	8	1	9	36	11	14	3	2	887.5	225.3	-162.3	530.9	1518.1	2.7	5.23e-06	10	2.8	4.28e-06	662.2	6.2	1
SQ29852_2I	9.53	3.87	41.4	6	1	7	34	9	13	3	2	869.8	174.6	-144	515.1	1468.2	3.2	3.17e-06	8	3.1	4.07e-06	695.2	6	2
