__MOL_ID__	ACTIVITY	moeGao_Abra_L	moeGao_Abra_R	moeGao_Abra_acidity	moeGao_Abra_basicity	moeGao_Abra_pi	moe2D_BCUT_PEOE_0	moe2D_BCUT_PEOE_1	moe2D_BCUT_PEOE_2	moe2D_BCUT_PEOE_3	moe2D_BCUT_SLOGP_0	moe2D_BCUT_SLOGP_1	moe2D_BCUT_SLOGP_2	moe2D_BCUT_SLOGP_3	moe2D_BCUT_SMR_0	moe2D_BCUT_SMR_1	moe2D_BCUT_SMR_2	moe2D_BCUT_SMR_3	moe2D_GCUT_PEOE_0	moe2D_GCUT_PEOE_1	moe2D_GCUT_PEOE_2	moe2D_GCUT_PEOE_3	moe2D_GCUT_SLOGP_0	moe2D_GCUT_SLOGP_1	moe2D_GCUT_SLOGP_2	moe2D_GCUT_SLOGP_3	moe2D_GCUT_SMR_0	moe2D_GCUT_SMR_1	moe2D_GCUT_SMR_2	moe2D_GCUT_SMR_3	moe2D_Kier1	moe2D_Kier2	moe2D_Kier3	moe2D_KierA1	moe2D_KierA2	moe2D_KierA3	moe2D_KierFlex	moe2D_PEOE_PC+	moe2D_PEOE_PC-	moe2D_PEOE_RPC+	moe2D_PEOE_RPC-	moe2D_PEOE_VSA+0	moe2D_PEOE_VSA+1	moe2D_PEOE_VSA+2	moe2D_PEOE_VSA+3	moe2D_PEOE_VSA+4	moe2D_PEOE_VSA+5	moe2D_PEOE_VSA+6	moe2D_PEOE_VSA-0	moe2D_PEOE_VSA-1	moe2D_PEOE_VSA-2	moe2D_PEOE_VSA-3	moe2D_PEOE_VSA-4	moe2D_PEOE_VSA-5	moe2D_PEOE_VSA-6	moe2D_PEOE_VSA_FHYD	moe2D_PEOE_VSA_FNEG	moe2D_PEOE_VSA_FPNEG	moe2D_PEOE_VSA_FPOL	moe2D_PEOE_VSA_FPOS	moe2D_PEOE_VSA_FPPOS	moe2D_PEOE_VSA_HYD	moe2D_PEOE_VSA_NEG	moe2D_PEOE_VSA_PNEG	moe2D_PEOE_VSA_POL	moe2D_PEOE_VSA_POS	moe2D_PEOE_VSA_PPOS	moe2D_Q_PC+	moe2D_Q_PC-	moe2D_Q_RPC+	moe2D_Q_RPC-	moe2D_Q_VSA_FHYD	moe2D_Q_VSA_FNEG	moe2D_Q_VSA_FPNEG	moe2D_Q_VSA_FPOL	moe2D_Q_VSA_FPOS	moe2D_Q_VSA_FPPOS	moe2D_Q_VSA_HYD	moe2D_Q_VSA_NEG	moe2D_Q_VSA_PNEG	moe2D_Q_VSA_POL	moe2D_Q_VSA_POS	moe2D_Q_VSA_PPOS	moe2D_SMR	moe2D_SMR_VSA0	moe2D_SMR_VSA1	moe2D_SMR_VSA2	moe2D_SMR_VSA3	moe2D_SMR_VSA4	moe2D_SMR_VSA5	moe2D_SMR_VSA6	moe2D_SMR_VSA7	moe2D_SlogP	moe2D_SlogP_VSA0	moe2D_SlogP_VSA1	moe2D_SlogP_VSA2	moe2D_SlogP_VSA3	moe2D_SlogP_VSA4	moe2D_SlogP_VSA5	moe2D_SlogP_VSA6	moe2D_SlogP_VSA7	moe2D_SlogP_VSA8	moe2D_SlogP_VSA9	moe2D_TPSA	moe2D_VAdjEq	moe2D_VAdjMa	moe2D_VDistEq	moe2D_VDistMa	moe2D_Weight	moe2D_a_IC	moe2D_a_ICM	moe2D_a_acc	moe2D_a_aro	moe2D_a_count	moe2D_a_don	moe2D_a_heavy	moe2D_a_hyd	moe2D_a_nC	moe2D_a_nH	moe2D_a_nI	moe2D_a_nN	moe2D_a_nO	moe2D_a_nP	moe2D_a_nS	moe2D_apol	moe2D_b_1rotN	moe2D_b_1rotR	moe2D_b_ar	moe2D_b_count	moe2D_b_double	moe2D_b_heavy	moe2D_b_rotN	moe2D_b_rotR	moe2D_b_single	moe2D_balabanJ	moe2D_bpol	moe2D_chi0	moe2D_chi0_C	moe2D_chi0v	moe2D_chi0v_C	moe2D_chi1	moe2D_chi1_C	moe2D_chi1v	moe2D_chi1v_C	moeGao_chi2_C	moeGao_chi2v_C	moeGao_chi3c	moeGao_chi3c_C	moeGao_chi3cv	moeGao_chi3cv_C	moeGao_chi3p	moeGao_chi3p_C	moeGao_chi3pv	moeGao_chi3pv_C	moeGao_chi4c	moeGao_chi4c_C	moeGao_chi4ca	moeGao_chi4ca_C	moeGao_chi4cav	moeGao_chi4cav_C	moeGao_chi4cv	moeGao_chi4cv_C	moeGao_chi4pc	moeGao_chi4pc_C	moeGao_chi4pcv	moeGao_chi4pcv_C	moe2D_chiral	moe2D_density	moe2D_diameter	moe2D_kS_aaCH	moe2D_kS_aaN	moe2D_kS_aaNH	moe2D_kS_aaaC	moe2D_kS_aasC	moe2D_kS_dO	moe2D_kS_dsCH	moe2D_kS_dssC	moe2D_kS_dsssP	moe2D_kS_sCH3	moe2D_kS_sI	moe2D_kS_sNH2	moe2D_kS_sOH	moe2D_kS_sSH	moe2D_kS_ssCH2	moe2D_kS_ssNH	moe2D_kS_ssO	moe2D_kS_ssS	moe2D_kS_sssCH	moe2D_kS_sssN	moe2D_kS_ssssC	moe2D_lip_acc	moe2D_lip_don	moe2D_lip_druglike	moe2D_lip_violation	moe2D_logP(o/w)	moe2D_logS	moe2D_mr	moe2D_opr_brigid	moe2D_opr_leadlike	moe2D_opr_nring	moe2D_opr_nrot	moe2D_opr_violation	moe2D_petitjean	moe2D_petitjeanSC	moe2D_radius	moe2D_reactive	moe2D_rings	moe2D_vdw_area	moe2D_vdw_vol	moe2D_vsa_acc	moe2D_vsa_don	moe2D_vsa_hyd	moe2D_vsa_other	moe2D_vsa_pol	moe2D_weinerPath	moe2D_weinerPol	moe2D_zagreb
COO_23A	7.92	18.05	2.234	1.526	3.796	2.823	-2.66	-0.5948	0.6135	2.731	-2.807	-0.5381	0.6337	2.697	-2.412	-0.4292	0.7298	2.977	-0.8414	-0.4427	0.07945	2.817	-1.363	-0.389	0.1385	2.77	-0.528	-0.2354	0.1931	3.041	32.21	17.56	11.74	25.56	13.84	9.208	9.827	4.093	-4.093	0.08835	0.08365	98.67	57.61	26.68	17.24	46.55	29.42	19.2	67.61	61.27	0	0	13.57	56.77	22.46	0.6365	0.4288	0.1795	0.3635	0.5712	0.1841	329.1	221.7	92.8	188	295.4	95.16	8.584	-8.584	0.09087	0.1153	0.4716	0.3023	0.1795	0.5284	0.6977	0.3489	243.8	156.3	92.8	273.2	360.8	180.4	12.78	130.3	3.124	86.79	15.13	32.9	241.2	70.2	0	1.102	68.92	36.45	118.4	87.65	3.186	0	0	88.22	132.1	44.79	188.4	0.3158	6.209	3.966	10.06	506.6	114	1.629	8	6	70	7	36	19	24	34	0	4	8	0	0	75.73	15	0.4054	6	71	5	37	18	0.4865	60	1.881	46.52	26.5	15.8	20.06	14.69	17.22	8.858	11.95	7.709	5.427	4.275	2.236	0.2041	0.7751	0.1179	11.3	3.05	5.888	2.078	0	0	8.087	1.663	3.567	0.8986	0	0	4.735	0.2887	1.552	0.1361	3	0.7752	18	8.962	0	0	0	0.7598	60.67	0	-4.493	0	0	0	5.51	18.81	0	2.424	4.846	5.164	0	-3.382	1.225	0	12	6	0	3	0.913	-2.771	13.1	11	0	2	15	4	0.5	1	9	0	2	517	653.4	40.7	11.37	274.7	77.02	124.1	4665	49	170
COO_23E	5.6	16.61	2.231	1.086	3.427	2.706	-2.585	-0.568	0.6185	2.739	-2.768	-0.5212	0.6444	2.698	-2.342	-0.4262	0.756	2.985	-0.8387	-0.4687	0.06577	2.812	-1.164	-0.3869	0.1009	2.763	-0.5254	-0.2381	0.1793	3.039	28.57	14.07	8.258	22.72	11.11	6.485	7.425	3.683	-3.683	0.0989	0.09296	103.3	57.61	9.438	8.619	46.55	29.42	19.2	45.72	61.27	0	0	13.57	56.77	15.67	0.6122	0.4131	0.1841	0.3878	0.5869	0.2037	286	193	86.01	181.2	274.2	95.16	7.524	-7.524	0.1037	0.09704	0.485	0.32	0.1841	0.515	0.68	0.3308	226.6	149.5	86.01	240.6	317.7	154.6	11.77	130.3	6.249	68.78	15.13	0	222.4	70.2	0	1.479	18.01	39.57	118.4	87.65	3.186	0	0	88.22	113.2	44.79	153.6	0.3364	6.17	3.945	9.872	475.5	102.9	1.633	7	6	63	5	34	18	23	29	0	3	8	0	0	69.53	11	0.3056	6	65	5	36	13	0.3611	54	1.477	43.03	24.66	15.1	18.72	13.98	16.27	8.358	11.3	7.209	5.073	3.921	2.289	0.2041	0.8512	0.1179	11.66	2.8	6.115	1.828	0	0	8.294	1.519	3.588	0.7543	0	0	5.311	0.2887	1.86	0.1361	3	0.7898	18	9.089	0	0	0	0.8007	60.72	0	-4.142	0	0	0	0	18.75	0	2.139	2.422	5.303	0	-3.111	2.522	0	11	3	1	1	1.232	-2.921	12.12	16	0	3	11	3	0.5	1	9	0	3	467.2	602.1	40.7	5.683	258.9	77.02	100.7	3974	49	170
COO_23J	6.41	15.6	2.045	1.349	3.322	2.573	-2.587	-0.5711	0.6045	2.731	-2.791	-0.5127	0.6339	2.697	-2.343	-0.4181	0.7246	2.977	-0.8387	-0.4448	0.07261	2.712	-1.164	-0.399	0.1197	2.652	-0.5248	-0.2302	0.1833	2.938	28.24	14.41	9.652	21.73	10.99	7.314	7.462	3.678	-3.678	0.0983	0.09308	77.34	57.61	9.438	17.24	46.55	29.42	19.2	47.06	61.27	0	0	13.57	56.77	15.81	0.5982	0.431	0.1909	0.4018	0.569	0.2109	270	194.5	86.15	181.3	256.8	95.16	7.594	-7.594	0.1027	0.09614	0.4767	0.3316	0.1909	0.5233	0.6684	0.3324	215.1	149.6	86.15	236.1	301.6	150	11.06	130.3	3.124	86.79	15.13	0	184.6	51.76	33.33	0.9929	36.02	36.45	118.4	69.21	3.186	0	0	88.22	75.47	78.11	162.3	0.3449	6.044	3.968	9.686	449.5	97.7	1.656	7	6	59	6	32	16	21	27	0	3	8	0	0	64.68	11	0.3333	6	60	5	33	14	0.4242	49	1.739	39.52	23.67	13.97	17.65	12.86	15.18	7.527	10.21	6.378	4.528	3.363	2.305	0.2041	0.8174	0.1179	10.36	2.429	5.06	1.48	0	0	7.185	1.401	2.929	0.6522	0	0	4.844	0.2887	1.556	0.1361	3	0.7948	18	8.925	0	0	0	0.7625	59.2	0	-4.524	0	1.366	0	0	18.53	0	0.7695	4.595	5.022	0	-3.362	1.218	0	11	4	1	1	0.844	-2.802	11.38	11	0	2	11	2	0.5	1	9	0	2	451.3	565.5	40.7	11.37	236.4	77.02	106.3	3547	44	154
COO_24A	5.6	20.65	2.992	1.526	3.508	3.197	-2.659	-0.5787	0.6072	2.669	-2.807	-0.5225	0.6831	2.67	-2.411	-0.4204	0.7314	2.922	-0.8414	-0.4277	0.07384	2.844	-1.363	-0.3759	0.1479	2.819	-0.5279	-0.2297	0.1904	3.087	34.49	17.96	10.9	26.3	13.59	8.209	8.934	4.244	-4.244	0.08521	0.08067	83.82	74.67	26.68	17.24	46.55	29.42	19.2	64.67	98.04	0	0	13.57	56.77	22.46	0.6601	0.462	0.1678	0.3399	0.538	0.1721	365.1	255.5	92.8	188	297.6	95.16	9.144	-9.144	0.0853	0.1083	0.5299	0.3752	0.1678	0.4701	0.6248	0.3024	293	207.5	92.8	260	345.6	167.2	14.45	130.3	0	89.92	18.32	35.65	292.9	51.76	0	2.069	72.04	33.33	118.4	69.21	6.371	18.87	0	158.8	94.34	47.55	188.4	0.2969	6.392	4.038	10.36	554.6	119.9	1.621	8	12	74	7	40	23	28	34	0	4	8	0	0	82.77	15	0.3571	12	76	5	42	18	0.4286	59	1.546	46.52	29.07	18.37	21.95	16.59	19.21	10.92	13.04	8.889	7.3	5.224	2.514	0.3708	0.915	0.2199	13.14	4.647	6.56	2.825	0	0	10.09	2.957	4.296	1.464	0	0	5.515	0.6206	1.856	0.3129	3	0.7707	19	15.77	0	0	0	1.925	62.17	0	-4.696	0	0	0	5.54	19.34	0	1.188	4.876	5.192	0	-3.633	1.165	0	12	6	0	3	1.941	-4.227	14.67	16	0	3	14	4	0.4737	0.9	10	0	3	553.1	719.6	40.7	11.37	310.7	77.02	124.1	6059	59	196
COO_24C	9.6	21.34	3.427	1.349	3.082	3.373	-2.585	-0.5976	0.6168	2.658	-2.804	-0.5381	0.6845	2.598	-2.34	-0.4319	0.7355	2.917	-0.8144	-0.3977	0.07928	2.83	-1.164	-0.3814	0.1526	2.809	-0.5146	-0.2194	0.1931	3.083	34.87	17.63	10.52	25.32	12.7	7.535	7.654	4.139	-4.139	0.08736	0.08271	66.93	95.99	9.438	17.24	46.55	29.42	19.2	27.58	159.3	0	0	13.57	56.77	15.81	0.675	0.4895	0.1544	0.325	0.5105	0.1706	376.5	273	86.15	181.3	284.8	95.16	9.048	-9.048	0.08621	0.08069	0.6003	0.4739	0.1544	0.3997	0.5261	0.2452	334.9	264.3	86.15	222.9	293.5	136.8	15.18	130.3	0	89.92	21.5	2.757	343.4	33.33	0	3.183	39.15	33.33	118.4	50.77	9.557	37.74	0	247	37.74	47.55	162.3	0.2907	6.492	4.032	10.51	573.6	115.9	1.588	7	18	73	6	42	26	31	31	0	3	8	0	0	84.95	13	0.2889	18	76	5	45	16	0.3556	53	1.335	43.9	30.06	20.36	22.64	17.85	20.22	12.64	13.4	9.654	9.044	5.918	2.718	0.5749	1.033	0.3378	14.32	6.22	6.895	3.408	0	0	11.21	4.31	4.593	1.95	0	0	5.899	1.027	2.039	0.517	3	0.7683	19	24.65	0	0	0	2.635	62.83	0	-4.75	0	0	0	0	19.47	0	-0.4418	4.931	5.248	0	-3.743	1.168	0	11	4	0	2	3.407	-5.759	15.47	22	0	4	12	3	0.4737	0.9	10	0	4	557.8	746.6	40.7	11.37	340	77.02	106.3	6738	63	212
COO_25A	8.46	20.05	2.412	1.526	3.818	2.895	-2.786	-0.5703	0.6024	2.858	-2.809	-0.5128	0.6555	2.893	-2.537	-0.4159	0.7221	3.108	-0.8414	-0.4276	0.07464	3.007	-1.363	-0.3472	0.1348	2.994	-0.5307	-0.2302	0.1913	3.231	34.49	17.96	10.9	28.05	14.52	8.783	10.18	4.256	-4.256	0.08496	0.08044	110	61.87	26.68	17.24	46.55	29.42	19.2	76.31	78.68	0	0	13.57	56.77	22.46	0.6636	0.4435	0.1661	0.3364	0.5565	0.1703	370.7	247.8	92.8	188	310.9	95.16	8.584	-8.584	0.09087	0.1153	0.529	0.2797	0.1661	0.471	0.7203	0.3049	295.5	156.3	92.8	263.2	402.4	170.4	14.41	130.3	3.124	91.2	19.11	32.9	297.8	51.76	0	2.271	68.92	36.45	122.4	69.21	7.596	0	0	88.22	188.7	44.79	188.4	0.2969	6.392	4.038	10.36	560.6	126.3	1.578	8	6	80	7	40	23	28	40	0	4	8	0	0	86.77	15	0.3571	6	82	5	42	18	0.4286	71	1.546	53.07	29.07	18.37	22.63	17.26	19.21	10.92	13.95	9.767	7.3	6.148	2.514	0.3708	1.03	0.2845	13.14	4.647	7.691	3.68	0	0	10.09	2.957	5.391	2.184	0	0	5.515	0.6206	2.256	0.468	5	0.7604	19	9.001	0	0	0	0.764	62.4	0	-4.36	0	0	0	5.551	19.45	0	5.203	4.934	5.207	0	-3.403	1.423	0	12	6	0	3	2.295	-3.915	14.75	16	0	3	15	4	0.4737	0.9	10	0	3	558.7	737.3	40.7	11.37	310.7	77.02	124.1	6059	59	196
COO_25E	7.82	18.6	2.409	1.086	3.449	2.778	-2.786	-0.5275	0.5821	2.858	-2.776	-0.5128	0.6668	2.893	-2.537	-0.3909	0.7155	3.108	-0.8358	-0.4432	0.06507	3.002	-1.164	-0.3552	0.1276	2.988	-0.5307	-0.2337	0.1881	3.226	30.95	14.76	8.064	25.24	11.97	6.513	7.952	3.846	-3.846	0.09471	0.08902	114.6	61.87	9.438	8.619	46.55	29.42	19.2	54.42	78.68	0	0	13.57	56.77	15.67	0.6439	0.4306	0.169	0.3561	0.5694	0.187	327.6	219.1	86.01	181.2	289.7	95.16	7.524	-7.524	0.1037	0.09704	0.5469	0.2938	0.169	0.4531	0.7062	0.284	278.3	149.5	86.01	230.5	359.3	144.5	13.4	130.3	6.249	73.19	19.11	0	279	51.76	0	2.648	18.01	39.57	122.4	69.21	7.596	0	0	88.22	169.8	44.79	153.6	0.3146	6.358	4.018	10.2	529.6	115.2	1.578	7	6	73	5	38	22	27	35	0	3	8	0	0	80.57	11	0.2683	6	76	5	41	13	0.3171	65	1.289	49.59	27.23	17.66	21.29	16.55	18.26	10.42	13.3	9.267	6.947	5.795	2.567	0.3708	1.107	0.2845	13.5	4.397	7.918	3.43	0	0	10.3	2.812	5.413	2.04	0	0	6.091	0.6206	2.564	0.468	5	0.7721	19	9.127	0	0	0	0.8049	62.45	0	-4.009	0	0	0	0	19.39	0	4.936	2.478	5.346	0	-3.096	2.738	0	11	3	0	2	2.614	-4.065	13.78	21	0	4	11	3	0.4737	0.9	10	0	4	508.8	685.9	40.7	5.683	294.9	77.02	100.7	5248	59	196
COO_26A	7.92	15.71	1.573	1.44	3.616	2.611	-2.786	-0.521	0.5338	2.858	-2.822	-0.4626	0.5497	2.893	-2.537	-0.3787	0.6527	3.108	-0.8415	-0.4432	0.06501	2.964	-1.365	-0.3552	0.06849	2.953	-0.5307	-0.2337	0.188	3.186	26.25	12.89	7.536	22.74	11.11	6.471	8.421	3.411	-3.411	0.08279	0.1005	110	20.21	40.77	8.619	46.55	29.42	0	65.4	26.1	0	0	0	54.27	28.97	0.63	0.4061	0.1935	0.37	0.5939	0.1766	271	174.7	83.24	159.2	255.5	75.96	6.95	-6.95	0.09482	0.1424	0.4699	0.1935	0.1935	0.5301	0.8065	0.3366	202.2	83.24	83.24	228.1	347	144.8	10.83	95.45	3.124	73.19	15.93	65.79	188.7	44.45	0	0.0366	83.81	29.13	111.4	69.21	4.411	0	0	0	188.7	0	176	0.3618	5.954	3.738	9.519	426.5	101.1	1.579	8	0	64	7	30	16	20	34	0	4	6	0	0	67.08	12	0.3871	0	65	4	31	13	0.4194	61	1.909	42.32	22.26	12.97	17.29	12.66	14.26	7.691	10.79	7.502	4.796	4.663	2.09	0.1667	0.8867	0.1667	9.889	2.922	6.229	2.837	0	0	7.21	1.77	4.369	1.706	0	0	4.85	0.3319	1.997	0.3319	5	0.7617	16	0	0	0	0	0	48.26	0	-3.227	0	0	0	11.21	18.98	0	6.127	2.398	0	0	-2.868	1.45	0	10	7	1	1	0.052	-1.589	10.99	10	0	2	12	3	0.5	1	8	0	2	430.3	560	27.13	5.683	207.4	55.32	122.6	2716	45	146
COO_26C	7.0	16.4	2.008	1.263	3.19	2.787	-2.786	-0.5638	0.6147	2.858	-2.82	-0.4894	0.6689	2.893	-2.537	-0.4265	0.7473	3.108	-0.8358	-0.4077	0.06977	2.959	-1.364	-0.3744	0.1311	2.949	-0.5306	-0.231	0.1897	3.185	26.6	12.63	7.25	21.49	10.13	5.785	6.803	3.305	-3.305	0.08544	0.1037	84.36	41.53	23.53	8.619	46.55	29.42	0	45.72	78.68	0	0	0	54.27	22.32	0.6493	0.462	0.1761	0.3507	0.538	0.1746	282.4	201	76.59	152.6	234	75.96	6.854	-6.854	0.09615	0.1444	0.5609	0.322	0.1761	0.4391	0.678	0.263	244	140.1	76.59	191	294.9	114.4	11.56	95.45	3.124	73.19	19.11	32.9	239.2	26.01	0	1.15	50.91	29.13	111.4	50.77	7.596	18.87	0	88.22	132.1	0	150	0.3524	6.087	3.784	9.706	445.5	98.68	1.566	7	6	63	6	32	19	23	31	0	3	6	0	0	69.26	10	0.2941	6	65	4	34	11	0.3235	55	1.523	39.7	23.25	14.97	17.98	13.93	15.27	9.416	11.14	8.267	6.54	5.357	2.295	0.3708	1.005	0.2845	11.06	4.495	6.558	3.419	0	0	8.39	3.123	4.69	2.192	0	0	5.226	0.7385	2.177	0.5361	5	0.759	16	9.149	0	0	0	0.8546	48.75	0	-3.265	0	0	0	5.933	19.11	0	4.083	2.422	0	0	-2.99	1.452	0	9	5	1	0	1.518	-3.122	11.82	16	1	3	10	1	0.5	1	8	0	3	435	587	27.13	5.683	236.7	55.32	104.8	3223	49	162
COO_26H	6.66	16.4	2.008	1.263	3.19	2.787	-2.786	-0.5638	0.6147	2.858	-2.82	-0.4894	0.6689	2.893	-2.537	-0.4265	0.7473	3.108	-0.8358	-0.4077	0.06977	2.959	-1.364	-0.3744	0.1311	2.949	-0.5306	-0.231	0.1897	3.185	26.6	12.63	7.25	21.49	10.13	5.785	6.803	3.305	-3.305	0.08544	0.1037	84.36	41.53	23.53	8.619	46.55	29.42	0	45.72	78.68	0	0	0	54.27	22.32	0.6493	0.462	0.1761	0.3507	0.538	0.1746	282.4	201	76.59	152.6	234	75.96	6.854	-6.854	0.09615	0.1444	0.5609	0.322	0.1761	0.4391	0.678	0.263	244	140.1	76.59	191	294.9	114.4	11.56	95.45	3.124	73.19	19.11	32.9	239.2	26.01	0	1.15	50.91	29.13	111.4	50.77	7.596	18.87	0	88.22	132.1	0	150	0.3524	6.087	3.784	9.706	445.5	98.68	1.566	7	6	63	6	32	19	23	31	0	3	6	0	0	69.26	10	0.2941	6	65	4	34	11	0.3235	55	1.523	39.7	23.25	14.97	17.98	13.93	15.27	9.416	11.14	8.267	6.54	5.357	2.295	0.3708	1.005	0.2845	11.06	4.495	6.558	3.419	0	0	8.39	3.123	4.69	2.192	0	0	5.226	0.7385	2.177	0.5361	5	0.759	16	9.149	0	0	0	0.8546	48.75	0	-3.265	0	0	0	5.933	19.11	0	4.083	2.422	0	0	-2.99	1.452	0	9	5	1	0	1.518	-3.122	11.82	16	1	3	10	1	0.5	1	8	0	3	435	587	27.13	5.683	236.7	55.32	104.8	3223	49	162
