__MOL_ID__	ACTIVITY	QikProp_#stars	QikProp_#amine	QikProp_#acid	QikProp_#amide	QikProp_#rotor	QikProp_#rtvFG	QikProp_CNS	QikProp_mol_MW	QikProp_dipole	QikProp_SASA	QikProp_FOSA	QikProp_FISA	QikProp_PISA	QikProp_WPSA	QikProp_volume	QikProp_donorHB	QikProp_accptHB	QikProp_dip^2/V	QikProp_ACxDN^.5/SA	QikProp_glob	QikProp_QPpolrz	QikProp_QPlogPC16	QikProp_QPlogPoct	QikProp_QPlogPw	QikProp_QPlogPo/w	QikProp_QPlogS	QikProp_CIQPlogS	QikProp_QPlogHERG	QikProp_QPPCaco	QikProp_QPlogBB	QikProp_QPPMDCK	QikProp_QPlogKp	QikProp_IP(eV)	QikProp_EA(eV)	QikProp_#metab	QikProp_QPlogKhsa	QikProp_HumanOralAbsorption	QikProp_PercentHumanOralAbsorption	QikProp_SAamideO	QikProp_PSA	QikProp_#NandO	QikProp_RuleOfFive	QikProp_#ringatoms	QikProp_#in34	QikProp_#in56	QikProp_#noncon	QikProp_#nonHatm	QikProp_RuleOfThree	QikProp_ACxDN^.5/SAxSASA/MW
COO_23A	7.92	5	1	2	2	15	0	-2	506.555	6.901	895.222	357.005	337.678	200.538	0	1593.472	4.5	11.5	0.0298859	0.0272504	0.736994	49.9	18.341	30.113	23.545	-0.773	-3.559	-2.821	-1.106	0.043	-4.087	0.042	-7.659	9.535	-0.008	7	-1.085	1	0	45.958	216.284	12	3	11	0	11	4	36	2	0.048159
COO_23E	5.6	0	0	2	2	9	0	-2	475.497	9.667	821.151	383.791	238.15	199.21	0	1474.562	2.25	11.25	0.0633768	0.0205504	0.7629876	48.982	15.759	26.66	19.853	2.038	-4.325	-3.519	0.047	1.756	-2.706	1.776	-4.343	9.33	-0.167	5	-0.983	1	30.298	37.718	181.008	11	1	16	0	16	8	34	1	0.0354891
COO_23J	6.41	1	0	2	2	10	0	-2	449.46	7.383	798.831	315.365	282.959	200.507	0	1402.961	2.5	10.5	0.0388546	0.0207828	0.7587061	45.486	15.488	25.206	20.129	1.563	-3.782	-3.257	-0.029	0.568	-3.316	0.617	-5.068	9.859	-0.045	5	-1.069	1	18.736	45.958	193.907	11	1	11	0	11	4	32	1	0.0369375
COO_24A	5.6	4	1	2	1	15	0	-2	554.599	6.335	909.394	244.846	338.311	326.237	0	1679.358	4.5	11.5	0.0239011	0.0268258	0.7513493	54.538	19.88	31.976	22.962	0.537	-4.445	-4.749	-2.848	0.061	-3.937	0.041	-7.228	9.235	0.448	8	-0.532	1	0	26.007	215.764	12	3	15	0	15	2	40	2	0.0439871
COO_24C	9.6	3	0	2	1	12	0	-2	573.601	6.615	885.5	148.131	261.21	476.159	0	1677.388	2.5	10.5	0.0260836	0.0187487	0.7710199	57.817	19.727	29.782	20.145	4.362	-5.556	-7.067	-2.519	1.316	-3.089	1.03	-3.504	9.202	0.407	7	-0.123	1	28.705	25.98	186.163	11	2	21	0	21	2	42	2	0.0289434
COO_25A	8.46	4	1	2	2	15	0	-2	560.646	5.698	940.499	461.016	278.945	200.539	0	1735.137	4.5	11.5	0.0187134	0.0259385	0.7424989	55.57	19.187	31.734	22.83	0.499	-4.476	-3.837	-1.017	0.172	-3.315	0.167	-6.576	9.474	-0.054	7	-0.73	1	0	40.218	204.997	12	3	15	0	15	8	40	2	0.0435125
COO_25E	7.82	0	0	2	2	9	0	-2	529.589	9.729	886.578	497.847	189.513	199.218	0	1629.093	2.25	11.25	0.0581051	0.0190339	0.755229	55.166	16.922	28.52	19.262	3.316	-5.599	-4.559	-0.079	5.631	-2.194	5.596	-3.446	9.399	-0.153	5	-0.6	2	33.878	32.081	169.085	11	2	20	0	20	12	38	1	0.0318644
COO_26A	7.92	2	2	2	2	13	0	-2	426.512	6.622	747.677	461.446	286.231	0	0	1351.236	6.25	10.75	0.0324523	0.0359447	0.7905665	39.575	14.289	28.369	23.264	-2.533	-0.642	-0.046	-0.009	0.037	-2.476	0.035	-9.672	9.475	-0.483	8	-1.449	1	0	39.51	187.821	10	1	9	0	9	8	30	2	0.0630112
COO_26C	7.0	0	1	2	2	10	0	-2	445.514	6.414	755.855	360.356	219.814	175.686	0	1379.181	4.25	9.75	0.0298267	0.0265926	0.7927575	44.298	14.857	26.614	20.777	-0.487	-2.895	-2.294	-0.086	0.632	-1.973	0.675	-6.054	9.567	-0.24	7	-1.009	1	20.529	39.537	159.35	9	0	15	0	15	8	32	2	0.0451168
COO_26H	6.66	0	1	2	2	10	0	-2	445.514	6.488	771.667	362.306	226.86	182.5	0	1394.583	4.25	9.75	0.0301836	0.0260477	0.782285	44.979	15.146	26.858	20.909	-0.451	-3.141	-2.294	-0.288	0.542	-2.112	0.572	-6.16	9.558	-0.265	7	-0.987	1	19.541	39.538	159.355	9	0	15	0	15	8	32	2	0.0451168
