__MOL_ID__	ACTIVITY	LCALC_STRAIN	LCALC_FE	LCALC_NA	LCALC_ND	LCALC_NDA	LCALC_NH	LCALC_NHE	LCALC_NRB	LCALC_NR	LCALC_NAR	LCALC_SA	LCALC_PSA	LCALC_EHSA	LCALC_VDWVOL	LCALC_SAVOL	LCALC_MLOGP	LCALC_MSOL	LCALC_NO	LCALC_SLOGP	LCALC_SSOL	LCALC_NPSA	LCALC_RGYRATION	LCALC_NSTEREO
01	8.38	1.32	30.1	5	3	8	40	13	7	4	3	821.7	214.9	-122	596	1580.7	0.9	5.25e-05	11	0.9	5.56e-05	606.8	5.1	1
02	8.37	2.52	22.8	5	3	8	37	12	8	3	2	840	229.7	-109.3	559.7	1499.5	1.1	6.74e-05	10	1.5	3.47e-05	610.3	4.9	1
03	8.3	0	18.5	3	3	6	34	8	7	3	2	812.1	187	-109.3	535.1	1431.1	2.9	6.37e-06	7	4.1	5.87e-07	625.1	5.1	1
04	8.21	-0.04	19.7	3	3	6	34	8	6	4	3	716.9	170.9	-104.2	518.5	1383.4	2.7	9.35e-06	7	3.4	2.75e-06	546.1	4.8	1
05	8.13	2.27	28.7	6	3	9	39	13	7	4	2	828.7	226.1	-112.4	575.4	1540.9	0.9	6.9e-05	11	1.4	2.31e-05	602.6	5	1
06	8.06	1.39	28.3	4	3	7	38	11	6	4	3	803.4	190.9	-113.8	557.9	1494	1.9	1.95e-05	10	0.9	0.000124	612.4	4.9	1
07	7.85	0.95	20.8	4	3	7	35	9	7	4	1	768.1	166.9	-91.4	533.7	1442.1	2	2.59e-05	8	2.9	4.1e-06	601.2	5	3
08	7.8	0.59	19.7	3	3	6	34	8	6	4	3	751.3	167.3	-115.7	516.9	1379	2.7	9.35e-06	7	3.4	2.75e-06	584	4.7	1
09	7.77	1.91	20.6	5	3	8	37	10	7	4	3	807.7	191.1	-107.9	543.3	1470.6	2.2	1.3e-05	9	2.4	8.52e-06	616.6	5	1
10	7.74	2.85	23.3	5	3	8	40	10	7	5	4	777.5	227.8	-165	571.4	1509.7	2.8	2.09e-06	9	3.3	8.11e-07	549.7	4.8	2
11	7.72	1.96	23.8	5	3	8	37	11	6	4	3	776.2	184.7	-107	538.3	1448.9	2.1	1.62e-05	10	1.5	5.08e-05	591.5	4.9	1
12	7.68	0.16	20.2	3	3	6	34	8	6	4	3	704.3	172.5	-106.3	515.5	1368.1	2.7	9.35e-06	7	3.4	2.38e-06	531.8	4.7	1
13	7.64	1.63	23.9	4	3	7	36	10	6	4	3	749.6	188.9	-105.6	528.5	1412	1.6	5.53e-05	9	0.6	0.000354	560.7	4.7	1
14	7.59	1.76	28.2	5	3	8	40	10	6	5	3	806.4	203.8	-108	576.5	1537.2	1.8	1.45e-05	9	3.6	4.18e-07	602.6	5.1	1
15	7.59	0.04	19	3	3	6	31	8	6	3	2	747.1	177.4	-108.3	480.9	1307	2.3	4.39e-05	7	2.7	1.73e-05	569.7	4.7	1
16	7.49	2.78	26.1	6	3	9	38	13	7	3	2	832.1	230.1	-113.4	559.8	1497.3	0.7	0.000126	11	1.3	3.83e-05	602.1	4.7	1
