__MOL_ID__	ACTIVITY	moeGao_Abra_L	moeGao_Abra_R	moeGao_Abra_acidity	moeGao_Abra_basicity	moeGao_Abra_pi	moe2D_BCUT_PEOE_0	moe2D_BCUT_PEOE_1	moe2D_BCUT_PEOE_2	moe2D_BCUT_PEOE_3	moe2D_BCUT_SLOGP_0	moe2D_BCUT_SLOGP_1	moe2D_BCUT_SLOGP_2	moe2D_BCUT_SLOGP_3	moe2D_BCUT_SMR_0	moe2D_BCUT_SMR_1	moe2D_BCUT_SMR_2	moe2D_BCUT_SMR_3	moe2D_FCharge	moe2D_GCUT_PEOE_0	moe2D_GCUT_PEOE_1	moe2D_GCUT_PEOE_2	moe2D_GCUT_PEOE_3	moe2D_GCUT_SLOGP_0	moe2D_GCUT_SLOGP_1	moe2D_GCUT_SLOGP_2	moe2D_GCUT_SLOGP_3	moe2D_GCUT_SMR_0	moe2D_GCUT_SMR_1	moe2D_GCUT_SMR_2	moe2D_GCUT_SMR_3	moe2D_Kier1	moe2D_Kier2	moe2D_Kier3	moe2D_KierA1	moe2D_KierA2	moe2D_KierA3	moe2D_KierFlex	moe2D_PEOE_PC+	moe2D_PEOE_PC-	moe2D_PEOE_RPC+	moe2D_PEOE_RPC-	moe2D_PEOE_VSA+0	moe2D_PEOE_VSA+1	moe2D_PEOE_VSA+2	moe2D_PEOE_VSA+3	moe2D_PEOE_VSA+4	moe2D_PEOE_VSA+5	moe2D_PEOE_VSA+6	moe2D_PEOE_VSA-0	moe2D_PEOE_VSA-1	moe2D_PEOE_VSA-2	moe2D_PEOE_VSA-3	moe2D_PEOE_VSA-4	moe2D_PEOE_VSA-5	moe2D_PEOE_VSA-6	moe2D_PEOE_VSA_FHYD	moe2D_PEOE_VSA_FNEG	moe2D_PEOE_VSA_FPNEG	moe2D_PEOE_VSA_FPOL	moe2D_PEOE_VSA_FPOS	moe2D_PEOE_VSA_FPPOS	moe2D_PEOE_VSA_HYD	moe2D_PEOE_VSA_NEG	moe2D_PEOE_VSA_PNEG	moe2D_PEOE_VSA_POL	moe2D_PEOE_VSA_POS	moe2D_PEOE_VSA_PPOS	moe2D_Q_PC+	moe2D_Q_PC-	moe2D_Q_RPC+	moe2D_Q_RPC-	moe2D_Q_VSA_FHYD	moe2D_Q_VSA_FNEG	moe2D_Q_VSA_FPNEG	moe2D_Q_VSA_FPOL	moe2D_Q_VSA_FPOS	moe2D_Q_VSA_FPPOS	moe2D_Q_VSA_HYD	moe2D_Q_VSA_NEG	moe2D_Q_VSA_PNEG	moe2D_Q_VSA_POL	moe2D_Q_VSA_POS	moe2D_Q_VSA_PPOS	moe2D_SMR	moe2D_SMR_VSA0	moe2D_SMR_VSA1	moe2D_SMR_VSA2	moe2D_SMR_VSA3	moe2D_SMR_VSA4	moe2D_SMR_VSA5	moe2D_SMR_VSA6	moe2D_SMR_VSA7	moe2D_SlogP	moe2D_SlogP_VSA0	moe2D_SlogP_VSA1	moe2D_SlogP_VSA2	moe2D_SlogP_VSA3	moe2D_SlogP_VSA4	moe2D_SlogP_VSA5	moe2D_SlogP_VSA6	moe2D_SlogP_VSA7	moe2D_SlogP_VSA8	moe2D_SlogP_VSA9	moe2D_TPSA	moe2D_VAdjEq	moe2D_VAdjMa	moe2D_VDistEq	moe2D_VDistMa	moe2D_Weight	moe2D_a_IC	moe2D_a_ICM	moe2D_a_acc	moe2D_a_acid	moe2D_a_aro	moe2D_a_base	moe2D_a_count	moe2D_a_don	moe2D_a_heavy	moe2D_a_hyd	moe2D_a_nB	moe2D_a_nBr	moe2D_a_nC	moe2D_a_nCl	moe2D_a_nF	moe2D_a_nH	moe2D_a_nI	moe2D_a_nN	moe2D_a_nO	moe2D_a_nP	moe2D_a_nS	moe2D_apol	moe2D_b_1rotN	moe2D_b_1rotR	moe2D_b_ar	moe2D_b_count	moe2D_b_double	moe2D_b_heavy	moe2D_b_rotN	moe2D_b_rotR	moe2D_b_single	moe2D_b_triple	moe2D_balabanJ	moe2D_bpol	moe2D_chi0	moe2D_chi0_C	moe2D_chi0v	moe2D_chi0v_C	moe2D_chi1	moe2D_chi1_C	moe2D_chi1v	moe2D_chi1v_C	moeGao_chi2_C	moeGao_chi2v_C	moeGao_chi3c	moeGao_chi3c_C	moeGao_chi3cv	moeGao_chi3cv_C	moeGao_chi3p	moeGao_chi3p_C	moeGao_chi3pv	moeGao_chi3pv_C	moeGao_chi4c	moeGao_chi4c_C	moeGao_chi4ca	moeGao_chi4ca_C	moeGao_chi4cav	moeGao_chi4cav_C	moeGao_chi4cv	moeGao_chi4cv_C	moeGao_chi4pc	moeGao_chi4pc_C	moeGao_chi4pcv	moeGao_chi4pcv_C	moe2D_chiral	moe2D_chiral_u	moe2D_density	moe2D_diameter	moe2D_kS_X	moe2D_kS_aaCH	moe2D_kS_aaN	moe2D_kS_aaNH	moe2D_kS_aaO	moe2D_kS_aaS	moe2D_kS_aaaC	moe2D_kS_aasC	moe2D_kS_aasN	moe2D_kS_dCH2	moe2D_kS_dNH	moe2D_kS_dO	moe2D_kS_dS	moe2D_kS_ddC	moe2D_kS_ddsN	moe2D_kS_ddssS	moe2D_kS_dsCH	moe2D_kS_dsN	moe2D_kS_dssC	moe2D_kS_dssS	moe2D_kS_dsssP	moe2D_kS_sBr	moe2D_kS_sCH3	moe2D_kS_sCl	moe2D_kS_sF	moe2D_kS_sI	moe2D_kS_sNH2	moe2D_kS_sNH3	moe2D_kS_sOH	moe2D_kS_sPH2	moe2D_kS_sSH	moe2D_kS_sSiH3	moe2D_kS_ssCH2	moe2D_kS_ssNH	moe2D_kS_ssNH2	moe2D_kS_ssO	moe2D_kS_ssPH	moe2D_kS_ssS	moe2D_kS_ssSiH2	moe2D_kS_sssCH	moe2D_kS_sssN	moe2D_kS_sssNH	moe2D_kS_sssP	moe2D_kS_sssSiH	moe2D_kS_ssssC	moe2D_kS_ssssN	moe2D_kS_ssssSi	moe2D_kS_sssssP	moe2D_kS_tCH	moe2D_kS_tNH	moe2D_kS_tsC	moe2D_lip_acc	moe2D_lip_don	moe2D_lip_druglike	moe2D_lip_violation	moe2D_logP(o/w)	moe2D_logS	moe2D_mr	moe2D_nmol	moe2D_opr_brigid	moe2D_opr_leadlike	moe2D_opr_nring	moe2D_opr_nrot	moe2D_opr_violation	moe2D_petitjean	moe2D_petitjeanSC	moe2D_radius	moe2D_reactive	moe2D_rings	moe2D_vdw_area	moe2D_vdw_vol	moe2D_vsa_acc	moe2D_vsa_acid	moe2D_vsa_base	moe2D_vsa_don	moe2D_vsa_hyd	moe2D_vsa_other	moe2D_vsa_pol	moe2D_weinerPath	moe2D_weinerPol	moe2D_zagreb
01	8.38	17.49	3.82	0.408	1.325	2.77	-2.758	-0.512	0.5356	2.693	-2.904	-0.4737	0.6219	2.555	-2.46	-0.3496	0.7011	3	0	-0.8532	-0.3938	0.03399	2.943	-1.37	-0.414	0.1044	2.94	-0.5117	-0.1868	0.1493	3.227	32.9	13.75	8.143	28.09	11.69	6.902	8.208	3.416	-3.416	0.08482	0.1123	168.9	56.63	23.99	46.58	12.95	4.185	0	94.15	73.53	0	2.53	64.03	25.76	6.651	0.8041	0.4599	0.1663	0.1959	0.5401	0.02955	466.3	266.7	96.45	113.6	313.2	17.13	9.784	-9.784	0.1479	0.09339	0.5168	0.3931	0.1707	0.4832	0.6069	0.3125	299.7	227.9	98.98	280.2	351.9	181.2	15.65	120.2	4.643	52.75	10.35	40.8	195.3	81.35	110.8	1.183	52.43	108.6	41.13	73.76	6.371	117.9	0	213.2	0	2.757	157	0.3021	6.426	3.753	10.39	586.7	129	1.744	6	0	16	0	74	3	40	25	0	0	27	0	0	34	0	6	5	0	2	86.6	10	0.2326	17	77	2	43	10	0.2326	58	0	1.506	57.02	29.24	18.8	24.3	16.89	18.77	9.749	16	7.36	6.925	4.276	4.65	0.643	1.796	0.3455	14.28	5.265	7.631	2.751	0.4928	0	11.64	4.123	5.44	1.812	0.07116	0	8.487	1.329	3.318	0.607	1	0	0.7911	15	0	17.19	0	0	0	0	1.275	1.979	0	0	7.743	65.31	0	0	0	-7.586	0	0	-0.6029	0	0	0	4.873	0	0	0	5.642	0	0	0	0	0	0.538	2.637	0	0	0	0	0	-1.177	4.679	0	0	0	0	0	0	0	0	0	0	11	4	0	2	1.235	-5.41	15.49	1	24	0	4	9	2	0.4667	0.875	8	0	4	579.9	741.7	77.6	0	0	25.82	380.7	44.35	121.2	5291	69	214
02	8.37	14.96	2.821	0.408	1.011	2.129	-2.758	-0.4325	0.4915	2.693	-2.904	-0.405	0.5037	2.68	-2.461	-0.2712	0.6325	3	0	-0.8532	-0.3795	0.01649	2.914	-1.37	-0.405	0.05233	2.895	-0.5216	-0.1774	0.1351	3.185	31.53	12.67	8.741	28.19	11.29	7.772	8.602	3.189	-3.189	0.08845	0.1203	185	45.89	23.99	46.58	12.95	4.185	0	49.88	93.01	0	2.53	64.03	25.76	6.651	0.7973	0.4315	0.1721	0.2027	0.5685	0.03057	446.9	241.9	96.45	113.6	318.6	17.13	8.789	-8.789	0.1646	0.104	0.583	0.3669	0.1766	0.417	0.6331	0.2404	326.7	205.6	98.98	233.7	354.8	134.7	14.34	120.2	4.643	49.63	13.54	32.9	160	81.35	145	1.262	49.3	108.6	41.13	73.76	9.557	52.11	0	172.8	0	99.98	153.7	0.3153	6.285	3.769	10.16	549.7	123.4	1.714	6	0	12	0	72	3	37	23	0	0	25	0	0	35	0	5	5	0	2	82.65	9	0.2308	12	74	2	39	10	0.2564	60	0	1.696	56.13	27.6	17.73	23.19	16.23	17.08	9.538	15.21	7.693	7.77	5.647	5.445	1.881	2.711	1.535	12.73	4.956	7.021	2.849	0.7815	0.2887	9.543	3.532	4.635	1.703	0.3212	0.25	8.628	2.456	3.658	1.497	1	0	0.7846	15	0	13.29	0	0	0	0	0	2.11	0	0	7.684	63.89	0	0	0	-7.441	0	0	-0.5857	0	0	0	7.209	0	0	0	5.602	0	0	0	0	0	0.6087	2.568	0	0	0	0	0	-1.14	2.773	0	0	0	-0.1487	0	0	0	0	0	0	10	4	1	1	1.601	-5.624	14.44	1	19	0	3	9	2	0.4667	0.875	8	0	3	560.5	700.6	77.6	0	0	25.82	360.6	44.35	121.2	4492	60	196
03	8.3	14.9	2.556	0.408	1.468	2.091	-2.787	-0.491	0.5068	2.725	-2.836	-0.476	0.5074	2.763	-2.522	-0.3478	0.6572	2.991	0	-0.8522	-0.3689	0.02434	2.915	-1.37	-0.2828	0.0542	2.928	-0.5298	-0.1929	0.1431	3.176	28.57	12.03	7.998	24.12	10.1	6.69	7.164	2.695	-2.695	0.1047	0.1423	165.6	45.89	11.19	25.86	12.95	4.185	0	67.29	111.8	0	2.53	32.02	25.76	6.651	0.8406	0.4808	0.1259	0.1594	0.5192	0.03349	430.1	246	64.43	81.57	265.6	17.13	6.64	-6.64	0.2179	0.1376	0.6771	0.3393	0.1309	0.3229	0.6607	0.192	346.4	173.6	66.96	165.2	338	98.25	13.54	72.03	3.124	54.04	13.54	32.9	197.8	44.47	139.9	3.416	49.3	58.88	34.48	36.88	13.97	20.42	0	172.8	37.74	133.3	116.3	0.3364	6.17	3.669	9.912	484.7	108	1.542	4	0	12	0	70	3	34	24	0	0	26	0	0	36	0	4	3	0	1	79.47	8	0.2222	12	72	2	36	9	0.25	58	0	1.682	48.77	25.1	18.31	21.28	16.81	15.86	10.93	13.2	9.087	9.453	7.33	4.224	2.17	2.491	1.823	11.8	5.942	6.771	3.835	0.4928	0.2887	8.844	3.676	4.417	1.847	0.2755	0.25	7.175	2.864	3.243	1.905	1	0	0.725	14	0	13.82	0	0	0	0	0	2.434	0	0	7.687	40	0	0	0	-3.927	0	0	-0.3016	0	0	0	8.366	0	0	0	5.62	0	0	0	0	0	3.21	2.669	0	0	0	0	0	-0.4068	1.755	0	0	0	-0.09588	0	0	0	0	0	0	7	4	1	0	4.577	-6.861	13.67	1	19	1	3	9	1	0.5	1	7	0	3	511.6	668.5	45.58	0	0	25.82	351.8	34.25	89.14	3538	54	178
04	8.21	15.77	3.305	0.408	1.481	2.536	-2.787	-0.5952	0.6197	2.725	-2.836	-0.5007	0.6993	2.763	-2.522	-0.4558	0.7446	2.991	0	-0.8522	-0.3966	0.06435	2.881	-1.37	-0.3569	0.1525	2.895	-0.5298	-0.2009	0.1717	3.151	27.05	12.03	7.072	21.72	9.592	5.611	6.127	2.676	-2.676	0.1056	0.1433	114.9	70.94	11.19	25.86	12.95	4.185	0	57.24	104.5	0	2.53	32.02	25.76	6.651	0.826	0.4879	0.1374	0.174	0.5121	0.03655	387.2	228.7	64.43	81.57	240.1	17.13	6.946	-6.946	0.2083	0.1315	0.6476	0.444	0.1428	0.3524	0.556	0.2096	303.6	208.2	66.96	165.2	260.6	98.25	13.42	72.03	3.124	54.04	10.35	38.04	250.7	44.47	39.97	3.272	49.3	58.88	34.48	36.88	10.78	20.42	0	230.9	37.74	33.33	116.3	0.3432	6.209	3.619	9.919	478.6	101.8	1.591	4	0	16	0	64	3	34	24	0	0	26	0	0	30	0	4	3	0	1	75.47	8	0.2162	17	67	2	37	8	0.2162	48	0	1.439	42.21	24.29	17.51	20.02	15.54	16.23	11.29	12.94	8.831	8.853	6.064	3.047	0.9928	1.324	0.6565	12.38	6.556	6.767	3.844	0.2041	0	9.686	4.522	4.626	2.03	0.02552	0	6.215	1.924	2.401	1.071	1	0	0.7446	14	0	19.51	0	0	0	0	1.755	1.388	0	0	7.692	40.19	0	0	0	-3.956	0	0	-0.3093	0	0	0	2.162	0	0	0	5.623	0	0	0	0	0	3.188	2.676	0	0	0	0	0	-0.4203	1.752	0	0	0	0	0	0	0	0	0	0	7	4	1	0	4.337	-6.719	13.51	1	24	1	4	8	1	0.5	1	7	0	4	468.8	642.8	45.58	0	0	25.82	313.3	34.25	89.14	3461	55	180
05	8.13	16.15	3.05	0.408	1.324	2.44	-2.758	-0.4485	0.499	2.693	-2.904	-0.4465	0.5011	2.71	-2.461	-0.2973	0.6435	3	0	-0.8532	-0.3938	0.02049	2.95	-1.37	-0.414	0.05327	2.94	-0.5238	-0.1703	0.139	3.217	31.93	12.7	8.306	28.72	11.39	7.434	8.387	3.351	-3.351	0.08429	0.1145	189.3	50.08	23.99	46.58	12.95	4.185	0	92.53	36.76	0	2.53	64.03	25.76	9.155	0.7919	0.4137	0.1774	0.2081	0.5863	0.03072	441.7	230.8	98.95	116.1	327.1	17.13	9.002	-9.002	0.1607	0.1015	0.5765	0.3511	0.1819	0.4235	0.6489	0.2415	321.6	195.9	101.5	236.2	362	134.7	14.77	120.2	15.64	49.63	18.78	32.9	180.1	81.35	111.6	1.068	60.3	108.6	41.13	73.76	9.557	70.98	0	155.2	18.87	71.9	163	0.3082	6.392	3.822	10.31	577.7	128.6	1.738	7	0	12	0	74	3	39	24	0	0	26	0	0	35	0	5	6	0	2	85.21	9	0.2143	12	77	2	42	9	0.2143	63	0	1.442	58.05	28.59	18.02	23.94	16.57	18.14	9.844	15.99	8.067	7.107	5.13	5.476	0.891	2.385	0.6568	13.93	4.648	7.711	2.865	0.7428	0	10.85	3.327	5.316	1.732	0.2155	0	8.731	1.176	3.501	0.7169	1	0	0.8004	16	0	11.42	0	0	0	0	0	2.538	0	0	7.713	64.49	0	0	0	-7.507	0	0	-0.5975	0	0	0	5.082	0	0	0	5.621	0	0	0	0	0	1.97	2.592	0	5.977	0	0	0	-1.159	2.773	0	0	0	-0.3346	0	0	0	0	0	0	11	4	0	2	1.312	-4.695	14.89	1	24	0	4	9	2	0.5	1	8	0	4	557.8	721.8	80.1	0	0	25.82	355.5	44.35	123.7	5134	65	212
06	8.06	17.51	3.581	0.408	3.041	2.989	-2.735	-0.5267	0.5922	2.677	-2.895	-0.4876	0.6894	2.527	-2.453	-0.3998	0.7266	2.955	0	-0.8478	-0.3993	0.06104	2.891	-1.37	-0.3965	0.141	2.865	-0.5144	-0.193	0.1611	3.163	30.95	13.78	8.064	24.45	10.81	6.298	6.955	3.403	-3.403	0.09431	0.1127	162.2	105.1	11.19	25.86	12.95	4.185	17.44	39.84	85.78	0	2.53	45.58	25.76	6.651	0.7935	0.3782	0.1431	0.2065	0.6218	0.06344	432.5	206.1	78	112.6	338.9	34.57	8.837	-8.837	0.1637	0.1034	0.5063	0.4068	0.1477	0.4937	0.5932	0.3459	276	221.7	80.53	269.1	323.3	188.6	14.65	95.9	9.373	49.63	10.35	38.04	212.9	86.17	72.44	1.839	49.3	69.96	34.48	73.76	6.371	86.21	0	230.9	0	23.86	139.9	0.3146	6.358	3.788	10.24	536.7	117.2	1.674	5	0	16	0	70	3	38	24	0	0	27	0	0	32	0	6	4	0	1	81.57	10	0.2439	17	73	3	41	10	0.2439	53	0	1.433	49.31	27.45	18.51	22.24	16.46	18.05	9.899	13.73	7.437	7.17	4.382	3.451	0.7041	1.412	0.3679	13.93	5.57	6.916	2.859	0.2041	0	10.62	4.378	4.798	1.886	0.02552	0	7.488	1.515	2.577	0.6632	1	0	0.7621	16	0	19.14	0	0	0	0	1.68	1.216	0	0	7.721	52.9	0	0	0	-4.052	0	0	-0.6256	0	0	0	3.346	0	0	0	5.633	0	0	0	0	0	1.364	2.628	0	0	0	0	0	-1.093	4.732	0	0	0	0	0	0	0	0	0	0	10	4	1	1	1.944	-5.4	14.67	1	24	0	4	8	2	0.5	1	8	0	4	545	704.2	59.15	0	0	25.82	358.4	51.69	102.7	4793	63	200
07	7.85	15.52	2.443	0.408	1.799	2.342	-2.789	-0.4909	0.5058	2.981	-2.86	-0.4758	0.5031	2.992	-2.523	-0.3455	0.6565	3.212	0	-0.8522	-0.3762	0.0172	3.156	-1.37	-0.343	0.0542	3.149	-0.5434	-0.2008	0.1429	3.393	28.02	10.64	5.723	24.84	9.396	5.041	6.669	2.926	-2.926	0.07681	0.1311	166.8	28.83	28.18	25.86	23.63	0	0	57.97	93.01	0	2.53	32.02	39.33	6.651	0.7987	0.4586	0.1545	0.2013	0.5414	0.0468	403.2	231.5	78	101.6	273.3	23.63	6.457	-6.457	0.2064	0.1415	0.6291	0.261	0.1595	0.3709	0.739	0.2114	317.6	131.8	80.53	187.2	373.1	106.7	13.54	95.9	3.124	56.9	10.35	32.9	183.8	67.39	106.6	2.455	49.3	64.57	58.35	54.11	15.19	18.87	0	102.2	94.34	99.98	133.4	0.3355	6.248	3.529	10.01	502.7	114.2	1.565	5	0	6	0	73	3	35	23	0	0	26	0	0	38	0	4	4	0	1	81.61	9	0.2368	6	76	3	38	9	0.2368	67	0	1.498	51.91	25.6	17.81	21.79	16.91	16.34	10.77	14.25	9.682	9.5	8.211	4.375	2.105	2.599	1.888	13.38	7.314	9.348	6.111	0.4665	0.2165	10.33	4.026	6.435	2.954	0.2429	0.2068	9.048	4.795	5.853	4.306	3	0	0.7464	12	0	6.993	0	0	0	0	0	1.248	0	0	7.71	53.56	0	0	0	-3.938	0	0	-0.2955	0	0	0	6.176	0	0	0	5.633	0	0	0	0	0	4.722	2.706	0	0	0	0	0	-0.2337	1.747	0	0	0	-1.274	0	0	0	0	0	0	8	4	1	1	2.521	-5.185	13.63	1	21	0	4	11	2	0.5	1	6	0	4	504.8	673.5	59.15	0	0	25.82	320.2	42.7	102.7	3611	60	194
08	7.8	15.77	3.305	0.408	1.481	2.536	-2.787	-0.5951	0.6198	2.725	-2.836	-0.5007	0.7067	2.763	-2.522	-0.4558	0.7461	2.991	0	-0.8522	-0.3823	0.06439	2.895	-1.37	-0.3569	0.1498	2.911	-0.5298	-0.2008	0.1717	3.167	27.05	12.03	6.865	21.72	9.592	5.447	6.127	2.709	-2.709	0.1069	0.1416	114.9	60.89	11.19	25.86	12.95	4.185	0	55.03	116.8	0	2.53	32.02	25.76	6.651	0.826	0.5094	0.1374	0.174	0.4906	0.03655	387.2	238.8	64.43	81.57	230	17.13	6.946	-6.946	0.2083	0.1315	0.6476	0.444	0.1428	0.3524	0.556	0.2096	303.6	208.2	66.96	165.2	260.6	98.25	13.42	72.03	3.124	54.04	10.35	38.04	250.7	44.47	39.97	3.272	49.3	58.88	34.48	36.88	10.78	20.42	0	230.9	37.74	33.33	116.3	0.3432	6.209	3.539	9.928	478.6	101.8	1.591	4	0	16	0	64	3	34	24	0	0	26	0	0	30	0	4	3	0	1	75.47	8	0.2162	17	67	2	37	8	0.2162	48	0	1.481	42.21	24.29	17.51	20.02	15.54	16.24	11.31	12.95	8.837	8.822	6.049	2.99	0.9622	1.3	0.6454	12.32	6.495	6.79	3.822	0.2041	0	9.997	4.5	4.766	2.024	0.02552	0	6.084	1.837	2.424	1.046	1	0	0.7446	13	0	19.43	0	0	0	0	1.418	1.414	0	0	7.703	40.58	0	0	0	-3.992	0	0	-0.3102	0	0	0	2.162	0	0	0	5.63	0	0	0	0	0	3.179	2.703	0	0	0	0	0	-0.429	1.755	0	0	0	0	0	0	0	0	0	0	7	4	1	0	4.298	-6.719	13.51	1	24	1	4	8	1	0.4615	0.8571	7	0	4	468.8	642.8	45.58	0	0	25.82	313.3	34.25	89.14	3365	56	180
09	7.77	16.86	3.571	0.408	1.82	2.967	-2.749	-0.5587	0.5922	2.732	-2.837	-0.4983	0.6894	2.709	-2.494	-0.4154	0.7266	2.983	0	-0.8515	-0.4094	0.06104	2.894	-1.37	-0.3665	0.141	2.891	-0.5212	-0.2009	0.1611	3.161	29.97	13.57	7.809	23.88	10.74	6.151	6.933	3.138	-3.138	0.09009	0.1223	127.1	83.74	11.19	25.86	12.95	18.89	0	57.24	85.78	0	2.53	32.02	39.33	9.155	0.7779	0.4469	0.1592	0.2221	0.5531	0.06295	393.5	226.1	80.5	112.3	279.8	31.84	7.946	-7.946	0.1821	0.115	0.5631	0.4433	0.1642	0.4369	0.5567	0.2727	284.8	224.2	83.03	221	281.6	138	14.05	106.9	3.124	54.04	10.35	38.04	250.7	52.21	42.02	2.425	49.3	66.63	69.35	36.88	10.78	55.8	0	230.9	37.74	0	142.6	0.3212	6.322	3.752	10.16	522.6	111.2	1.66	5	0	16	0	67	3	37	24	0	0	27	0	0	30	0	4	5	0	1	78.83	9	0.225	17	70	3	40	10	0.25	50	0	1.433	45.08	26.58	18.09	21.33	16.04	17.67	11.05	13.47	8.542	8.508	5.656	3.16	0.8708	1.228	0.5122	13.59	6.312	7.013	3.556	0.2041	0	10.45	4.522	4.899	2.03	0.02552	0	6.896	1.751	2.431	0.8674	1	0	0.7696	16	0	19.1	0	0	0	0	1.677	1.211	0	0	7.705	52.35	0	0	0	-4.048	0	0	-0.7973	0	0	0	1.34	0	0	0	5.621	0	0	0	0	0	1.606	2.618	0	4.826	0	0	0	-1.373	1.585	0	0	0	0	0	0	0	0	0	0	9	4	1	1	3.251	-6.167	14.27	1	24	0	4	9	2	0.5	1	8	0	4	505.8	679.1	59.15	0	0	25.82	319.5	51.46	102.7	4440	61	194
10	7.74	18.92	4.078	0.907	1.851	3.252	-2.651	-0.5768	0.6369	2.657	-2.802	-0.5126	0.7137	2.599	-2.376	-0.4379	0.7829	2.932	0	-0.8448	-0.4051	0.06959	2.921	-1.37	-0.4022	0.1487	2.931	-0.5018	-0.2205	0.1805	3.199	31.43	13.75	7.572	23.9	10.38	5.686	6.201	3.386	-3.386	0.08349	0.1133	67.79	100.8	14.34	25.86	23.27	18.89	0	44.25	134.8	0	2.53	32.02	39.33	14.42	0.7532	0.5158	0.1655	0.2468	0.4842	0.08136	390.4	267.4	85.77	127.9	250.9	42.17	9.053	-9.053	0.1598	0.1009	0.6112	0.5459	0.1704	0.3888	0.4541	0.2185	316.8	282.9	88.3	201.5	235.4	113.2	15.15	95.9	3.124	75.01	20.71	38.04	320.8	15.33	6.641	3.318	49.3	66.63	62.33	25.39	12.74	39.29	0	301.5	0	18.44	153.7	0.3073	6.459	3.675	10.4	556.6	112.5	1.655	6	0	22	0	68	5	40	27	0	0	30	0	0	28	0	4	5	0	1	82.78	9	0.2045	23	72	3	44	9	0.2045	46	0	1.342	40.98	28.44	19.66	22.27	16.94	19.12	13.11	14.15	9.669	10.45	6.559	3.53	1.037	1.363	0.572	14.88	8.076	7.489	4.299	0.2041	0	12.16	6.147	5.352	2.753	0.02552	0	7.605	2.319	2.743	1.102	2	0	0.7746	15	0	25.96	0	0	0	0	1.59	2.623	0	0	7.75	53.48	0	0	0	-4.191	0	0	-1.989	0	0	0	0	0	0	0	5.641	0	9.993	0	0	0	0.07552	2.555	0	0	0	0	0	-2.468	1.229	0	0	0	0	0	0	0	0	0	0	9	5	1	1	4.325	-7.397	15.32	1	29	0	5	8	3	0.4667	0.875	8	0	5	518.3	718.6	45.58	0	0	25.82	319.9	48.95	116.3	5133	69	216
