__MOL_ID__	ACTIVITY	QikProp_#stars	QikProp_#amine	QikProp_#amidine	QikProp_#acid	QikProp_#amide	QikProp_#rotor	QikProp_#rtvFG	QikProp_CNS	QikProp_mol_MW	QikProp_dipole	QikProp_SASA	QikProp_FOSA	QikProp_FISA	QikProp_PISA	QikProp_WPSA	QikProp_volume	QikProp_donorHB	QikProp_accptHB	QikProp_dip^2/V	QikProp_ACxDN^.5/SA	QikProp_glob	QikProp_QPpolrz	QikProp_QPlogPC16	QikProp_QPlogPoct	QikProp_QPlogPw	QikProp_QPlogPo/w	QikProp_QPlogS	QikProp_CIQPlogS	QikProp_QPlogHERG	QikProp_QPPCaco	QikProp_QPlogBB	QikProp_QPPMDCK	QikProp_QPlogKp	QikProp_IP(eV)	QikProp_EA(eV)	QikProp_#metab	QikProp_QPlogKhsa	QikProp_HumanOralAbsorption	QikProp_PercentHumanOralAbsorption	QikProp_SAfluorine	QikProp_SAamideO	QikProp_PSA	QikProp_#NandO	QikProp_RuleOfFive	QikProp_#ringatoms	QikProp_#in34	QikProp_#in56	QikProp_#noncon	QikProp_#nonHatm	QikProp_RuleOfThree	QikProp_ACxDN^.5/SAxSASA/MW
01	8.38	0	0	1	0	1	11	0	-2	586.723	9.147	826.206	335.377	221.844	268.232	0.752	1627.381	3.250	13.750	0.0514090	0.0300024	0.8098473	54.472	17.432	31.494	21.936	1.728	-4.125	-5.941	-4.514	60.624	-2.353	31.697	-5.670	8.341	1.109	3	-0.424	2	43.053	0.000	13.758	151.609	11	2	22	0	22	4	40	0	0.0422485
02	8.37	0	0	1	0	1	11	0	-2	549.702	10.962	822.941	393.750	237.505	190.178	1.508	1571.095	3.250	12.750	0.0764894	0.0279308	0.7942027	51.474	16.600	30.098	21.575	1.559	-3.911	-5.368	-4.395	33.159	-2.606	22.112	-6.233	8.149	0.706	2	-0.410	2	50.331	0.000	28.021	146.947	10	1	18	0	18	4	37	0	0.0418143
03	8.3	0	0	1	0	1	10	0	-2	484.655	9.043	758.990	390.922	177.092	190.976	0.000	1479.439	3.250	8.250	0.0552723	0.0195957	0.8272952	48.456	15.209	26.168	15.662	3.196	-4.889	-5.736	-3.863	164.546	-1.764	90.284	-5.213	8.432	0.457	2	0.209	3	85.327	0.000	12.595	114.322	7	0	18	0	18	5	34	0	0.0306877
04	8.21	0	0	1	0	1	9	0	-2	478.608	8.927	727.544	216.484	178.096	332.964	0.000	1408.609	3.250	8.250	0.0565703	0.0204426	0.8352808	47.619	15.579	26.165	16.915	2.931	-4.480	-5.857	-4.411	155.642	-1.681	88.169	-4.827	8.444	0.983	2	0.083	3	83.342	0.000	14.433	116.797	7	0	22	0	22	5	34	0	0.0310753
05	8.13	0	0	1	0	1	10	0	-2	577.712	10.793	816.856	384.502	237.478	194.121	0.756	1599.297	3.250	13.500	0.0728387	0.0297941	0.8096652	53.283	16.779	31.213	22.546	1.462	-3.749	-5.668	-4.163	33.177	-2.452	21.918	-6.315	8.146	0.591	3	-0.405	2	36.811	0.000	28.023	154.577	11	2	22	0	22	7	39	0	0.0421274
06	8.06	0	0	1	0	2	9	0	-2	536.648	8.427	796.837	254.507	204.746	336.824	0.759	1535.854	3.250	10.250	0.0462397	0.0231898	0.8079088	52.749	17.010	28.972	22.148	2.106	-3.732	-5.668	-3.498	42.536	-2.068	47.458	-5.305	8.210	1.224	2	-0.286	2	55.472	0.000	53.459	142.369	10	1	22	0	22	4	38	0	0.0344332
07	7.85	0	0	1	0	1	10	0	-2	502.671	10.495	789.563	477.921	190.667	120.842	0.133	1505.145	3.250	10.250	0.0731802	0.0234034	0.8044461	48.815	15.129	27.477	17.843	2.383	-4.569	-5.011	-3.898	107.488	-2.003	65.643	-5.710	8.367	0.147	3	-0.086	3	64.299	0.000	19.653	132.388	8	1	19	0	19	11	35	0	0.0367605
08	7.8	0	0	1	0	1	9	0	-2	478.608	8.655	722.215	223.688	160.253	338.274	0.000	1404.039	3.250	8.250	0.0533493	0.0205935	0.8396235	47.487	15.442	26.011	16.407	3.038	-4.577	-5.857	-4.366	254.342	-1.494	134.341	-4.480	8.441	0.904	2	0.076	3	87.783	0.000	8.895	108.959	7	0	22	0	22	5	34	0	0.0310754
09	7.77	0	0	1	0	1	10	1	-2	522.618	10.369	803.878	249.576	207.210	346.338	0.753	1505.728	3.250	10.250	0.0714014	0.0229866	0.7903257	50.992	16.920	28.596	20.118	2.520	-4.535	-5.969	-5.202	64.652	-2.249	44.774	-5.221	8.163	1.141	3	-0.103	3	61.151	0.000	27.682	145.393	9	1	22	0	22	5	37	0	0.0353574
10	7.74	2	0	1	1	1	10	0	-2	556.635	10.721	808.997	81.553	230.039	497.144	0.260	1534.022	4.250	10.250	0.0749206	0.0261199	0.7951318	53.564	18.595	31.390	21.507	3.077	-5.109	-6.919	-4.036	13.619	-2.464	7.484	-5.110	8.174	1.092	5	-0.230	2	52.300	0.000	10.538	149.238	9	1	26	0	26	3	40	1	0.0379619
11	7.72	0	0	1	0	1	9	0	-2	523.606	8.123	784.327	231.354	213.608	338.609	0.755	1490.928	3.250	10.750	0.0442516	0.0247089	0.8047090	50.968	16.703	28.603	20.800	2.203	-4.227	-5.864	-4.932	55.881	-2.176	38.499	-5.462	8.199	1.197	2	-0.162	2	58.161	0.000	28.014	148.212	10	1	22	0	22	4	37	0	0.0370123
12	7.68	0	0	1	0	1	9	0	-2	478.608	8.738	719.309	204.973	176.518	337.818	0.000	1390.108	3.250	8.250	0.0549220	0.0206767	0.8374302	46.925	15.436	25.900	16.955	2.837	-4.330	-5.433	-4.399	159.610	-1.657	91.515	-4.781	8.449	0.934	2	0.039	3	82.989	0.000	14.940	114.068	7	0	23	0	16	6	34	0	0.0310754
13	7.64	0	0	1	0	2	9	0	-2	507.606	7.241	755.564	202.909	214.957	336.944	0.755	1451.828	3.250	11.250	0.0361114	0.0268425	0.8206733	49.387	16.291	28.270	23.692	1.163	-2.528	-4.723	-3.292	29.421	-2.105	37.293	-5.493	8.218	1.234	2	-0.638	2	47.081	0.000	61.407	142.028	9	1	22	0	22	4	36	0	0.0399547
14	7.59	1	0	1	0	1	9	0	-2	558.651	11.696	829.057	237.412	242.430	348.461	0.754	1576.445	3.250	12.250	0.0867735	0.0266375	0.7901326	54.484	17.819	31.348	22.624	1.929	-4.493	-6.149	-5.215	29.961	-2.566	19.500	-5.958	8.160	1.838	2	-0.231	2	51.706	0.000	27.686	162.933	9	1	26	0	26	5	40	0	0.039531
15	7.59	0	0	1	0	1	9	0	-2	442.575	8.952	702.323	306.075	177.054	219.194	0.000	1342.121	3.250	8.250	0.0597147	0.0211767	0.8378302	43.872	14.180	24.688	15.934	2.404	-4.137	-4.914	-3.827	164.806	-1.660	90.365	-5.209	8.434	0.478	3	-0.079	3	80.700	0.000	12.554	114.323	7	0	18	0	18	5	31	0	0.0336053
16	7.49	0	0	1	0	1	11	0	-2	565.701	8.603	794.542	441.414	221.268	130.805	1.055	1568.697	3.250	13.500	0.0471782	0.0306308	0.8217521	50.811	15.896	29.826	21.383	1.339	-3.404	-5.390	-3.666	51.517	-2.281	32.254	-6.143	8.238	0.507	6	-0.500	2	39.510	0.000	23.325	146.638	11	2	18	0	18	4	38	0	0.0430218
17	7.47	0	0	1	0	1	9	0	-2	512.666	9.592	772.339	396.787	178.722	196.831	0.000	1514.186	3.250	9.000	0.0607642	0.0210076	0.8256764	50.545	15.569	27.439	16.844	3.116	-4.991	-6.052	-3.917	153.377	-1.727	86.877	-5.318	8.424	0.352	3	0.213	3	71.352	0.000	14.488	122.129	8	1	22	0	22	8	36	0	0.0316483
18	7.43	1	0	1	0	1	9	0	-2	512.625	9.661	776.507	119.370	166.149	490.727	0.261	1470.762	3.250	8.250	0.0634614	0.0191536	0.8054677	51.613	17.254	27.747	18.844	3.548	-4.914	-6.898	-5.646	164.949	-1.686	117.274	-4.051	8.150	1.022	4	0.207	3	74.446	0.000	25.497	110.707	7	1	26	0	26	3	37	0	0.0290132
19	7.43	0	0	1	0	2	9	0	-2	493.579	9.160	734.248	156.787	238.097	338.609	0.755	1403.549	3.250	11.250	0.0597767	0.0276218	0.8256714	47.471	16.024	28.043	24.026	0.724	-2.105	-4.453	-3.219	16.823	-2.305	21.600	-5.913	8.185	1.165	2	-0.745	2	53.126	0.000	64.338	150.144	9	0	22	0	22	4	35	1	0.0410902
20	7.38	1	0	1	0	0	11	1	-2	487.572	9.157	791.532	63.849	168.722	558.700	0.261	1442.629	3.250	7.250	0.0581275	0.0165124	0.7800687	49.852	17.623	26.438	16.047	4.421	-5.976	-7.371	-7.755	248.831	-1.947	110.364	-3.667	8.151	1.084	3	0.515	3	95.716	0.000	0.000	117.796	7	0	22	0	22	0	35	1	0.0268065
21	7.38	0	0	1	0	1	9	0	-2	466.554	7.133	660.364	153.718	179.621	327.025	0.000	1289.325	3.250	9.950	0.0394670	0.0271632	0.8675406	42.789	14.489	25.231	18.358	1.605	-3.006	-5.058	-3.861	152.025	-1.570	85.053	-4.876	8.483	1.044	3	-0.427	3	75.398	0.000	13.900	126.027	8	0	22	0	22	4	33	0	0.038447
22	7.24	0	0	1	0	2	11	0	-2	523.606	7.008	767.478	165.170	264.637	336.915	0.755	1473.973	4.250	12.950	0.0333239	0.0347855	0.8161290	48.989	17.079	30.633	26.460	0.188	-2.063	-4.339	-3.365	10.701	-2.746	11.545	-6.216	8.232	1.257	3	-0.954	2	33.511	0.000	57.401	163.301	10	1	22	0	22	4	37	1	0.050987
23	7.23	0	0	1	0	1	9	0	-2	470.629	7.503	735.343	402.699	161.263	171.381	0.000	1412.532	3.250	8.250	0.0398586	0.0202258	0.8279567	46.233	14.372	25.075	15.684	2.874	-4.622	-5.461	-3.759	226.794	-1.547	131.176	-5.086	8.492	0.406	5	0.085	3	85.936	0.000	13.946	106.816	7	0	18	0	18	5	33	0	0.0316022
24	7.19	0	0	1	0	1	9	0	-2	464.581	8.682	681.495	180.330	179.338	321.827	0.000	1330.123	3.250	8.250	0.0566724	0.0218239	0.8582823	44.372	14.801	25.077	16.666	2.459	-3.777	-5.582	-3.986	154.167	-1.602	85.622	-4.890	8.447	0.990	2	-0.085	3	80.502	0.000	13.473	116.808	7	0	22	0	22	5	33	0	0.0320135
25	7.12	0	0	1	0	1	12	0	-2	554.789	7.959	847.285	587.008	132.304	127.973	0.000	1706.431	3.250	8.250	0.0371249	0.0175536	0.8150694	55.654	16.447	28.100	14.111	4.823	-6.296	-7.130	-3.760	506.201	-1.487	259.829	-4.418	8.484	0.348	7	0.694	1	90.627	0.000	4.641	102.047	7	1	18	0	18	5	39	2	0.0268082
26	7.05	0	0	1	0	1	10	0	-2	500.655	9.206	760.352	477.789	150.003	132.138	0.421	1485.113	3.250	9.000	0.0570682	0.0213388	0.8279237	48.121	14.654	26.258	16.614	3.065	-4.343	-5.770	-3.572	244.139	-1.497	172.019	-4.921	8.208	0.397	6	0.100	3	74.670	0.000	23.340	109.411	8	1	18	0	18	5	35	0	0.0324075
27	7.02	0	0	1	0	1	10	1	-2	536.645	11.228	792.421	276.763	180.307	334.594	0.756	1523.862	3.250	10.250	0.0827242	0.0233190	0.8081768	51.605	16.715	28.909	18.473	2.826	-4.957	-6.244	-4.857	162.688	-1.878	84.487	-4.766	8.132	1.082	3	-0.036	3	70.113	0.000	9.383	134.514	9	1	22	0	22	5	38	0	0.0344333
28	6.96	0	0	1	0	0	10	1	-2	439.528	8.334	710.130	180.588	175.954	353.588	0.000	1320.917	3.250	7.250	0.0525773	0.0184052	0.8198682	43.665	14.957	24.072	14.725	3.420	-4.785	-6.063	-6.133	212.483	-1.784	92.740	-4.619	8.462	0.948	2	0.286	3	88.625	0.000	0.000	118.799	7	0	16	0	16	0	31	0	0.0297366
29	6.92	2	0	1	1	0	10	0	-2	554.619	12.093	789.638	39.350	243.655	506.372	0.261	1514.548	4.250	10.250	0.0965583	0.0267603	0.8077170	52.873	18.517	31.581	20.836	3.520	-5.155	-7.650	-5.251	12.272	-2.528	5.427	-5.329	8.112	1.134	3	0.062	2	54.087	0.000	0.000	152.451	9	1	26	0	26	1	40	1	0.0380999
30	6.92	1	0	1	0	0	9	0	-2	512.625	7.748	748.916	120.289	168.305	460.322	0.000	1453.638	3.250	8.250	0.0413026	0.0198592	0.8286468	50.638	16.817	27.162	16.698	4.041	-5.304	-7.539	-6.500	251.112	-1.613	111.091	-4.198	8.476	0.912	4	0.510	3	80.603	0.000	0.000	112.576	7	1	26	0	26	3	37	0	0.0290132
31	6.92	0	0	1	0	1	12	0	-2	452.570	9.098	765.679	222.884	184.965	357.831	0.000	1401.642	4.250	7.750	0.0590499	0.0208665	0.7910600	45.652	16.111	26.464	17.457	2.829	-4.651	-5.398	-5.245	136.526	-2.130	74.974	-4.578	8.458	0.841	2	-0.098	2	81.729	0.000	13.400	122.696	7	0	16	0	16	0	32	0	0.0353029
32	6.82	0	0	1	0	1	10	1	-2	522.618	10.135	804.391	249.959	207.340	346.338	0.753	1505.492	3.250	10.250	0.0682278	0.0229720	0.7897387	50.982	16.923	28.547	20.128	2.517	-4.540	-5.969	-5.212	64.336	-2.254	44.636	-5.223	8.161	1.108	3	-0.104	3	61.095	0.000	27.793	145.418	9	1	22	0	22	5	37	0	0.0353575
33	6.82	0	0	1	0	1	13	1	-2	598.799	8.042	876.480	597.279	170.292	108.909	0.000	1776.659	3.250	10.250	0.0364049	0.0210826	0.8093924	57.641	17.208	29.996	17.004	4.178	-5.569	-7.237	-3.761	174.778	-1.953	105.999	-5.089	8.342	0.519	8	0.474	2	78.587	0.000	17.403	137.147	9	1	18	0	18	5	42	1	0.0308592
34	6.8	0	0	1	0	2	10	0	-2	521.633	11.486	804.950	246.800	211.058	346.338	0.753	1509.067	4.250	10.750	0.0874252	0.0275318	0.7904398	51.125	17.204	30.607	23.886	1.548	-3.549	-5.044	-3.826	38.226	-2.289	40.887	-5.292	8.164	1.154	3	-0.536	2	51.373	0.000	51.769	147.682	9	1	22	0	22	5	37	0	0.0424853
35	6.74	0	0	1	0	1	10	1	-2	514.638	8.881	791.782	437.388	192.487	161.474	0.433	1521.269	3.250	10.250	0.0518459	0.0233378	0.8079105	49.848	15.557	27.647	18.410	2.522	-4.483	-5.573	-4.036	96.539	-2.004	63.122	-5.601	8.235	0.540	6	-0.042	3	64.274	0.000	23.347	136.059	9	1	18	0	18	5	36	0	0.0359057
36	6.7	2	0	1	0	1	10	1	-2	570.662	10.224	847.260	169.049	182.011	495.939	0.261	1609.021	3.250	10.250	0.0649599	0.0218097	0.7837717	56.554	18.764	30.578	19.361	3.490	-6.001	-7.286	-6.022	171.085	-2.014	80.653	-4.229	8.173	1.074	5	0.146	2	74.391	0.000	4.608	136.015	9	1	26	0	26	3	41	1	0.0323808
37	6.68	2	0	1	0	1	12	1	-2	598.715	10.753	928.547	185.292	196.751	545.751	0.753	1749.273	3.250	10.250	0.0661020	0.0199004	0.7561354	61.359	20.733	32.264	21.262	4.278	-6.264	-7.834	-6.706	81.239	-2.452	57.310	-4.134	8.158	1.133	4	0.386	1	73.219	0.000	27.682	145.177	9	1	28	0	28	5	43	1	0.0308635
38	6.64	0	0	1	0	1	9	0	-2	464.581	8.536	691.825	195.418	161.790	334.618	0.000	1338.576	3.250	8.250	0.0544377	0.0214981	0.8490450	44.833	14.844	25.108	16.291	2.636	-4.104	-5.582	-4.196	247.676	-1.475	129.555	-4.521	8.446	0.896	2	-0.075	3	85.224	0.000	8.513	108.655	7	0	22	0	22	5	33	0	0.0320136
39	6.64	0	0	1	0	2	13	0	-2	597.814	9.562	877.426	594.518	173.999	108.909	0.000	1779.289	4.250	10.750	0.0513818	0.0252576	0.8093178	57.746	17.484	31.981	20.758	3.186	-4.550	-6.289	-2.388	103.984	-1.991	97.120	-5.157	8.329	0.437	8	0.022	2	68.741	0.000	41.319	139.478	9	1	18	0	18	5	42	1	0.0370712
40	6.59	0	0	1	1	1	10	0	-2	508.591	7.743	718.362	175.529	228.787	314.046	0.000	1406.468	4.250	10.250	0.0426257	0.0294154	0.8451004	46.711	15.994	28.418	19.909	2.184	-3.777	-5.617	-2.354	14.442	-2.175	7.683	-5.732	8.493	1.093	3	-0.458	2	47.529	0.000	8.831	152.226	9	1	22	0	22	5	36	1	0.0415479
41	6.55	0	0	1	0	0	9	1	-2	411.475	7.892	662.986	117.073	186.002	359.910	0.000	1211.287	3.250	7.250	0.0514230	0.0197140	0.8288813	39.980	14.056	22.858	14.944	2.701	-4.185	-5.517	-6.017	170.625	-1.784	73.161	-4.878	8.471	0.958	2	0.067	3	82.708	0.000	0.000	120.925	7	0	16	0	16	0	29	0	0.031764
42	6.55	2	0	1	0	2	12	0	-2	597.731	11.476	933.764	185.560	200.944	546.507	0.753	1752.802	4.250	10.750	0.0751413	0.0237337	0.7529219	61.507	21.063	34.167	25.080	3.274	-5.271	-6.887	-5.387	47.293	-2.521	51.910	-4.208	8.144	1.071	4	-0.078	2	63.134	0.000	52.205	147.051	9	1	28	0	28	5	43	0	0.0370763
43	6.49	0	0	1	0	1	9	0	-2	504.646	9.250	740.815	248.167	170.125	322.523	0.000	1464.926	3.250	8.250	0.0584134	0.0200764	0.8420395	49.774	15.922	26.944	16.375	3.325	-4.895	-6.356	-4.252	206.937	-1.579	106.418	-4.717	8.434	0.977	2	0.230	3	74.905	0.000	8.387	115.139	7	1	25	0	25	8	36	0	0.0294719
44	6.47	0	0	1	0	1	9	0	-2	479.596	9.593	693.618	200.981	183.013	309.625	0.000	1340.692	3.250	9.250	0.0686446	0.0240416	0.8477423	44.679	14.837	25.849	17.960	2.099	-3.554	-5.505	-4.098	130.849	-1.677	78.509	-5.000	8.366	1.287	3	-0.226	3	77.123	0.000	18.043	114.332	8	0	22	0	22	5	34	0	0.0347703
