__MOL_ID__	ACTIVITY	LCALC_STRAIN	LCALC_FE	LCALC_NA	LCALC_ND	LCALC_NDA	LCALC_NH	LCALC_NHE	LCALC_NRB	LCALC_NR	LCALC_NAR	LCALC_SA	LCALC_PSA	LCALC_EHSA	LCALC_VDWVOL	LCALC_SAVOL	LCALC_MLOGP	LCALC_MSOL	LCALC_NO	LCALC_SLOGP	LCALC_SSOL	LCALC_NPSA	LCALC_RGYRATION	LCALC_NSTEREO
1-1	6.25	0.01	26.7	1	2	3	24	3	5	3	2	720.7	30.3	-8.3	392.5	1126.1	3.8	1.52e-05	3	4.4	4.95e-06	690.4	5.2	0
1-10	7.52	0	35.1	2	1	3	26	4	5	4	2	681.4	56.2	-9.8	401.7	1140.2	3.8	9.68e-06	4	4.7	1.76e-06	625.2	5.1	0
1-11	4.57	0.01	33.1	4	1	5	27	7	3	4	2	597.2	127.2	-9	384.6	1091.2	3.4	6.45e-06	7	3.5	5.32e-06	470	4.9	0
1-12	5.52	0	34.4	4	1	5	28	7	4	4	2	621	128.5	-9.2	404	1140.2	3.7	3.29e-06	7	4	1.6e-06	492.5	4.8	0
1-13	7.9	0.01	36.7	4	1	5	29	7	5	4	2	710.1	152.5	-12.6	424	1203.6	3.9	1.69e-06	7	4.5	4.82e-07	557.6	5.4	0
1-14	6.36	0	38.7	5	1	6	31	8	5	4	2	753.2	161.4	-14.3	449.4	1278.3	3.6	1.72e-06	8	4.6	2.48e-07	591.8	5.7	0
1-15	6.62	0	38	4	1	5	30	8	5	4	2	732.9	152.5	-12.9	444.7	1259.4	4.4	3.67e-07	7	5.2	7.61e-08	580.4	5.4	0
1-16	5.17	0.01	33.6	4	1	5	23	7	3	3	1	574.2	157.3	-17.4	330.5	970.9	2.5	9.69e-05	7	2.8	4.96e-05	416.8	4.9	0
1-17	8.06	2.08	36.2	2	2	4	27	5	5	4	2	688.4	117.9	-13.9	411.7	1168.1	3.3	2.09e-05	5	3.8	8.29e-06	570.6	5.3	0
1-18	8.55	0	36.8	3	2	5	30	6	5	4	2	770.1	97.5	-12.1	451.2	1283.7	3.3	1.07e-05	6	3.8	3.91e-06	672.6	6	0
1-19	8.92	0.01	39.1	3	2	5	35	6	5	5	3	822.9	78.5	-11.4	526.7	1468.5	4.3	4.71e-07	6	5.4	5.94e-08	744.4	6.9	0
1-2	6.77	0	31.1	1	1	2	25	3	5	3	2	697.6	22.3	-6.1	409.5	1159.8	4	7.81e-06	3	3.9	9.96e-06	675.3	5.1	0
1-20	8.1	0.01	37.1	3	1	4	28	5	5	4	2	732.2	71.4	-12.2	426.9	1214.7	3.5	1.07e-05	5	4.8	9.05e-07	660.8	5.6	0
1-21	8.66	0	39.9	3	2	5	36	6	7	5	3	904.6	80.2	-12.8	548	1534.8	4.5	2.55e-07	6	5.6	3.09e-08	824.4	7.2	0
1-22	8.62	0.05	39.9	3	1	4	34	5	5	5	3	837.2	88.1	-11.9	512.4	1421.2	4.2	8.46e-07	5	5.8	3.17e-08	749.1	6.1	0
1-23	8.05	1.29	36.7	4	1	5	29	7	5	4	2	700.8	120.9	-11.4	423	1193.3	3.9	1.69e-06	7	4.5	4.82e-07	579.9	5.3	0
1-24	7.96	0	36.2	2	2	4	27	5	5	4	2	688.3	101.4	-12.9	411.7	1164.9	3.3	2.09e-05	5	3.8	8.29e-06	586.9	5.2	0
1-25	6.47	0.01	39.1	3	2	5	35	6	5	5	3	835.1	67	-11.9	526.5	1461.7	4.3	4.71e-07	6	4.8	1.8e-07	768.1	6.3	0
1-26	7.89	0.01	35.3	3	1	4	26	5	5	4	2	676.7	82.2	-12.7	394.3	1124.1	2.8	6.89e-05	5	3.5	1.79e-05	594.4	5	0
1-29	5.96	0	27.3	1	1	2	26	3	5	4	3	691.2	22.8	-7.4	417.2	1165.9	4.2	5.04e-06	3	4.1	5.47e-06	668.5	5.2	0
1-31a	6.0	0	34.3	1	1	2	26	3	5	4	2	690.5	23.3	-6.9	418	1176.1	4.3	4.18e-06	3	4.3	3.46e-06	667.2	5.1	0
1-31b	7.77	0	32.5	1	1	2	26	3	5	4	2	712.6	30.1	-7.2	417.8	1176.6	4.3	4.18e-06	3	4.4	3.44e-06	682.4	5.1	0
1-31c	5.8	0	32.6	0	2	2	25	2	5	4	2	741.8	8.3	-11.1	415.2	1169.8	4.8	1.91e-06	2	5.1	9.01e-07	733.5	5.1	0
1-31d	7.64	0.01	34.3	2	1	3	27	4	5	4	2	700	44.3	-8.4	418.3	1176.2	3.8	8.49e-06	4	4	5.22e-06	655.7	5.2	0
1-34	5.92	0	27.5	2	1	3	26	4	5	4	3	688.7	45.6	-10.3	409.6	1150.8	4	7.5e-06	4	4	6.85e-06	643.1	5.2	0
