__MOL_ID__	ACTIVITY	moeGao_Abra_L	moeGao_Abra_R	moeGao_Abra_acidity	moeGao_Abra_basicity	moeGao_Abra_pi	moe2D_BCUT_PEOE_0	moe2D_BCUT_PEOE_1	moe2D_BCUT_PEOE_2	moe2D_BCUT_PEOE_3	moe2D_BCUT_SLOGP_0	moe2D_BCUT_SLOGP_1	moe2D_BCUT_SLOGP_2	moe2D_BCUT_SLOGP_3	moe2D_BCUT_SMR_0	moe2D_BCUT_SMR_1	moe2D_BCUT_SMR_2	moe2D_BCUT_SMR_3	moe2D_FCharge	moe2D_GCUT_PEOE_0	moe2D_GCUT_PEOE_1	moe2D_GCUT_PEOE_2	moe2D_GCUT_PEOE_3	moe2D_GCUT_SLOGP_0	moe2D_GCUT_SLOGP_1	moe2D_GCUT_SLOGP_2	moe2D_GCUT_SLOGP_3	moe2D_GCUT_SMR_0	moe2D_GCUT_SMR_1	moe2D_GCUT_SMR_2	moe2D_GCUT_SMR_3	moe2D_Kier1	moe2D_Kier2	moe2D_Kier3	moe2D_KierA1	moe2D_KierA2	moe2D_KierA3	moe2D_KierFlex	moe2D_PEOE_PC+	moe2D_PEOE_PC-	moe2D_PEOE_RPC+	moe2D_PEOE_RPC-	moe2D_PEOE_VSA+0	moe2D_PEOE_VSA+1	moe2D_PEOE_VSA+2	moe2D_PEOE_VSA+3	moe2D_PEOE_VSA+4	moe2D_PEOE_VSA+5	moe2D_PEOE_VSA+6	moe2D_PEOE_VSA-0	moe2D_PEOE_VSA-1	moe2D_PEOE_VSA-2	moe2D_PEOE_VSA-4	moe2D_PEOE_VSA-5	moe2D_PEOE_VSA-6	moe2D_PEOE_VSA_FHYD	moe2D_PEOE_VSA_FNEG	moe2D_PEOE_VSA_FPNEG	moe2D_PEOE_VSA_FPOL	moe2D_PEOE_VSA_FPOS	moe2D_PEOE_VSA_FPPOS	moe2D_PEOE_VSA_HYD	moe2D_PEOE_VSA_NEG	moe2D_PEOE_VSA_PNEG	moe2D_PEOE_VSA_POL	moe2D_PEOE_VSA_POS	moe2D_PEOE_VSA_PPOS	moe2D_Q_PC+	moe2D_Q_PC-	moe2D_Q_RPC+	moe2D_Q_RPC-	moe2D_Q_VSA_FHYD	moe2D_Q_VSA_FNEG	moe2D_Q_VSA_FPNEG	moe2D_Q_VSA_FPOL	moe2D_Q_VSA_FPOS	moe2D_Q_VSA_FPPOS	moe2D_Q_VSA_HYD	moe2D_Q_VSA_NEG	moe2D_Q_VSA_PNEG	moe2D_Q_VSA_POL	moe2D_Q_VSA_POS	moe2D_Q_VSA_PPOS	moe2D_SMR	moe2D_SMR_VSA0	moe2D_SMR_VSA1	moe2D_SMR_VSA2	moe2D_SMR_VSA3	moe2D_SMR_VSA4	moe2D_SMR_VSA5	moe2D_SMR_VSA6	moe2D_SMR_VSA7	moe2D_SlogP	moe2D_SlogP_VSA0	moe2D_SlogP_VSA1	moe2D_SlogP_VSA2	moe2D_SlogP_VSA3	moe2D_SlogP_VSA4	moe2D_SlogP_VSA5	moe2D_SlogP_VSA6	moe2D_SlogP_VSA7	moe2D_SlogP_VSA8	moe2D_SlogP_VSA9	moe2D_TPSA	moe2D_VAdjEq	moe2D_VAdjMa	moe2D_VDistEq	moe2D_VDistMa	moe2D_Weight	moe2D_a_IC	moe2D_a_ICM	moe2D_a_acc	moe2D_a_aro	moe2D_a_base	moe2D_a_count	moe2D_a_don	moe2D_a_heavy	moe2D_a_hyd	moe2D_a_nC	moe2D_a_nCl	moe2D_a_nF	moe2D_a_nH	moe2D_a_nN	moe2D_a_nO	moe2D_a_nS	moe2D_apol	moe2D_b_1rotN	moe2D_b_1rotR	moe2D_b_ar	moe2D_b_count	moe2D_b_double	moe2D_b_heavy	moe2D_b_rotN	moe2D_b_rotR	moe2D_b_single	moe2D_balabanJ	moe2D_bpol	moe2D_chi0	moe2D_chi0_C	moe2D_chi0v	moe2D_chi0v_C	moe2D_chi1	moe2D_chi1_C	moe2D_chi1v	moe2D_chi1v_C	moeGao_chi2_C	moeGao_chi2v_C	moeGao_chi3c	moeGao_chi3c_C	moeGao_chi3cv	moeGao_chi3cv_C	moeGao_chi3p	moeGao_chi3p_C	moeGao_chi3pv	moeGao_chi3pv_C	moeGao_chi4c	moeGao_chi4c_C	moeGao_chi4ca	moeGao_chi4ca_C	moeGao_chi4cav	moeGao_chi4cav_C	moeGao_chi4cv	moeGao_chi4cv_C	moeGao_chi4pc	moeGao_chi4pc_C	moeGao_chi4pcv	moeGao_chi4pcv_C	moe2D_chiral	moe2D_density	moe2D_diameter	moe2D_kS_aaCH	moe2D_kS_aaN	moe2D_kS_aasC	moe2D_kS_dO	moe2D_kS_ddsN	moe2D_kS_ddssS	moe2D_kS_dsCH	moe2D_kS_dsN	moe2D_kS_dssC	moe2D_kS_sCH3	moe2D_kS_sCl	moe2D_kS_sF	moe2D_kS_sNH2	moe2D_kS_sOH	moe2D_kS_ssCH2	moe2D_kS_ssNH	moe2D_kS_ssO	moe2D_kS_sssCH	moe2D_kS_sssN	moe2D_kS_ssssC	moe2D_lip_acc	moe2D_lip_don	moe2D_lip_druglike	moe2D_lip_violation	moe2D_logP(o/w)	moe2D_logS	moe2D_mr	moe2D_opr_brigid	moe2D_opr_leadlike	moe2D_opr_nring	moe2D_opr_nrot	moe2D_opr_violation	moe2D_petitjean	moe2D_petitjeanSC	moe2D_radius	moe2D_reactive	moe2D_rings	moe2D_vdw_area	moe2D_vdw_vol	moe2D_vsa_acc	moe2D_vsa_base	moe2D_vsa_don	moe2D_vsa_hyd	moe2D_vsa_other	moe2D_vsa_pol	moe2D_weinerPath	moe2D_weinerPol	moe2D_zagreb
1-1	6.25	12.15	2.095	0.398	1.625	1.998	-2.818	-0.5894	0.6212	2.744	-2.805	-0.5164	0.6938	2.793	-2.552	-0.4449	0.7534	3.006	0	-0.853	-0.3853	0.07257	2.756	-1.161	-0.2639	0.1585	2.815	-0.5294	-0.2161	0.1792	3.001	18.78	10.22	6.353	14.29	7.679	4.728	4.573	1.678	-1.678	0.1502	0.2097	92.57	42.65	0	8.619	0	12.95	0	79.21	98.04	0	0	13.57	0.1369	0.9234	0.5491	0.03941	0.07665	0.4509	0.03724	321.1	190.9	13.7	26.65	156.8	12.95	3.754	-3.754	0.1449	0.2158	0.7468	0.3982	0.03941	0.2532	0.6018	0.2138	259.7	138.5	13.7	88.04	209.3	74.34	9.804	23.86	3.124	22.42	6.371	0	251.5	60.58	0	3.985	18.01	8.383	0	55.32	34.64	0	0	176.4	56.61	18.44	32.34	0.4374	5.7	3.774	8.811	322.5	65.74	1.315	2	12	0	50	1	24	20	21	0	0	26	2	1	0	57.3	6	0.2308	12	52	1	26	7	0.2692	39	1.253	32.02	16.61	14.33	14.16	12.8	11.81	9.099	8.906	7.15	6.634	4.584	1.015	0.5749	0.6145	0.4053	8.084	4.599	4.83	2.841	0	0	6.318	2.754	3.356	1.349	0	0	2.266	0.9574	1.191	0.6653	0	0.6646	16	20.13	0	2.14	12.02	0	0	0	0	0.03899	0	0	0	0	0	7.688	3.045	0	0.7297	2.536	0	3	1	1	0	4.131	-4.027	9.955	18	1	3	8	0	0.5	1	8	0	3	347.7	485.2	13.57	0	5.683	293.3	12.95	19.25	1702	31	118
1-10	7.52	13.84	2.489	0.03	1.681	1.968	-2.817	-0.5542	0.5919	2.748	-2.798	-0.4618	0.684	2.796	-2.553	-0.4317	0.7182	3.009	0	-0.8523	-0.3843	0.06022	2.807	-0.9725	-0.2727	0.1445	2.856	-0.5295	-0.2052	0.1608	3.054	19.32	9	4.543	14.79	6.809	3.409	3.873	1.803	-1.803	0.1452	0.1653	90.37	42.81	0	0	0	25.9	0	79.21	85.78	0	0	27.13	0	0.849	0.5471	0.07726	0.151	0.4529	0.07375	298.2	192.1	27.13	53.03	159.1	25.9	3.864	-3.864	0.1407	0.2096	0.6987	0.3976	0.07726	0.3013	0.6024	0.224	245.4	139.6	27.13	105.8	211.6	78.67	10.11	47.72	6.249	4.411	9.557	0	233.8	65.84	0	3.851	0	16.77	0	55.32	61.69	0	0	158.8	56.61	18.44	40.62	0.4223	5.858	3.704	9.056	348.4	70.05	1.401	3	12	0	50	0	26	20	22	0	0	24	2	2	0	58.53	5	0.1724	12	53	2	29	5	0.1724	39	1.189	32.11	17.93	14.78	14.93	13.22	12.72	9.266	9.437	7.316	6.848	4.763	1.406	0.6804	0.7948	0.4663	9.842	4.824	5.595	2.995	0	0	7.955	2.808	3.917	1.394	0	0	3.732	1.264	1.695	0.8079	0	0.699	15	17.7	0	2.46	24.86	0	0	0	0	-0.2646	0	0	0	0	0	6.891	0	0	0.5892	3.925	0	4	0	1	0	3.997	-4.431	10.31	22	1	4	7	0	0.4667	0.875	8	0	4	351.2	498.5	27.13	0	0	279.7	25.9	27.13	1939	40	138
1-11	4.57	14.16	2.621	0.03	2.311	2.636	-2.782	-0.6055	0.6953	2.734	-2.824	-0.5367	0.7308	2.712	-2.516	-0.4709	0.8145	2.995	1	-0.8517	-0.3765	0.0969	2.795	-0.9747	-0.3306	0.1587	2.808	-0.5529	-0.2325	0.2079	3.039	20.28	8.789	4.302	15.03	6.434	3.121	3.583	2.601	-1.601	0.1177	0.1861	109.9	59.77	0	0	4.028	25.9	17.02	31.87	72.44	0	0	27.13	0	0.7871	0.3776	0.07796	0.2129	0.6224	0.1349	274	131.4	27.13	74.08	216.6	46.95	5.314	-4.314	0.2028	0.1878	0.6516	0.4468	0.11	0.3484	0.5532	0.2384	226.8	155.5	38.3	121.3	192.5	82.97	9.78	55.28	6.249	49.7	13.54	2.757	197.3	47.4	0	3.013	0	24.32	29.59	60.98	57.28	0	0	141.1	37.74	21.2	80.93	0.4102	5.907	3.638	9.183	366.4	75.43	1.605	5	12	1	47	1	27	18	20	0	0	20	3	4	0	55.04	4	0.1333	12	50	3	30	4	0.1333	35	1.315	28.04	18.97	13.23	14.75	11.73	13.04	8.174	8.987	6.319	5.799	3.823	1.843	0.4763	0.8206	0.2622	10.33	3.826	5.294	2.115	0	0	8.48	2.341	3.764	1.053	0	0	4.66	0.8131	1.756	0.3693	0	0.7666	15	14.25	0	1.654	36.5	-0.3028	0	0	0	-0.7096	0	0	0	0	9.034	3.916	0	0	-0.1478	3.643	0	7	1	1	0	2.887	-4.2	9.959	22	1	4	6	0	0.4667	0.875	8	0	4	348	477.9	44.1	4.028	0	239	25.9	61.06	1990	45	146
1-12	5.52	14.66	2.621	0.03	2.311	2.636	-2.806	-0.5572	0.6703	2.744	-2.813	-0.5244	0.6889	2.761	-2.541	-0.4426	0.7383	3.004	1	-0.8522	-0.3807	0.07428	2.814	-0.9739	-0.3094	0.1537	2.839	-0.5529	-0.2292	0.1842	3.055	21.24	9.428	4.855	15.93	6.989	3.57	3.975	2.659	-1.659	0.1151	0.1797	106.3	55.51	0	0	4.028	25.9	17.02	58.25	72.44	0	0	27.13	0	0.7979	0.4305	0.07401	0.2021	0.5695	0.1281	292.5	157.8	27.13	74.08	208.8	46.95	5.314	-4.314	0.2028	0.1878	0.6418	0.4242	0.1045	0.3582	0.5758	0.2537	235.3	155.5	38.3	131.3	211.1	93.02	10.24	55.28	6.249	54.11	9.557	2.757	197.3	65.84	0	3.261	0	24.32	25.6	79.42	61.69	0	0	141.1	37.74	21.2	80.93	0.3989	5.954	3.745	9.281	380.4	79.09	1.582	5	12	1	50	1	28	19	21	0	0	22	3	4	0	58.14	5	0.1613	12	53	3	31	5	0.1613	38	1.257	30.22	19.67	13.94	15.45	12.44	13.52	8.582	9.454	6.727	6.377	4.401	1.906	0.6804	0.9101	0.4663	10.6	4.234	5.572	2.523	0	0	8.394	2.341	3.879	1.053	0	0	4.689	1.102	1.817	0.658	0	0.7573	16	14.36	0	1.695	36.31	-0.3024	0	0	0	-0.7185	0	0	0	0	9.028	5.023	0	0	0.2663	3.67	0	7	1	1	0	3.053	-4.276	10.43	22	1	4	7	0	0.5	1	8	0	4	366.6	502.4	44.1	4.028	0	254.8	25.9	61.06	2292	45	150
1-13	7.9	15.16	2.621	0.03	2.311	2.636	-2.817	-0.5506	0.664	2.748	-2.798	-0.5173	0.684	2.796	-2.553	-0.4363	0.7317	3.009	1	-0.8523	-0.3841	0.07257	2.83	-0.9725	-0.2946	0.1536	2.871	-0.5529	-0.2244	0.1825	3.069	22.2	10.08	5.258	16.83	7.559	3.912	4.386	2.711	-1.711	0.1129	0.1743	114.9	55.51	0	0	4.028	25.9	17.02	66.95	72.44	0	0	27.13	0	0.807	0.4338	0.07069	0.193	0.5662	0.1223	309.8	166.5	27.13	74.08	217.3	46.95	5.314	-4.314	0.2028	0.1878	0.6579	0.4051	0.09978	0.3421	0.5949	0.2423	252.5	155.5	38.3	131.3	228.3	93.02	10.7	55.28	6.249	54.11	9.557	2.757	216.2	65.84	0	3.651	0	24.32	25.6	79.42	61.69	0	0	141.1	56.61	21.2	80.93	0.3883	6	3.844	9.375	394.5	82.68	1.56	5	12	1	53	1	29	20	22	0	0	24	3	4	0	61.23	6	0.1875	12	56	3	32	6	0.1875	41	1.206	32.41	20.38	14.65	16.16	13.15	14.02	9.082	9.954	7.227	6.666	4.689	1.906	0.6804	0.9101	0.4663	10.91	4.642	5.892	2.932	0	0	8.587	2.63	4.075	1.341	0	0	4.733	1.246	1.88	0.8023	0	0.7488	17	14.45	0	1.728	36.21	-0.3017	0	0	0	-0.7188	0	0	0	0	9.025	6.25	0	0	0.4828	3.705	0	7	1	1	0	3.495	-4.478	10.9	22	1	4	8	0	0.4706	0.8889	9	0	4	383.9	526.8	44.1	4.028	0	270.6	25.9	61.06	2622	46	154
1-14	6.36	15.63	2.629	0.03	2.307	2.612	-2.817	-0.5619	0.6315	2.748	-2.798	-0.5191	0.6496	2.796	-2.553	-0.4253	0.7243	3.009	1	-0.8523	-0.3934	0.0655	2.844	-0.9725	-0.3199	0.1501	2.89	-0.5529	-0.2202	0.1718	3.084	24.13	10.95	5.742	18.64	8.382	4.366	5.041	2.932	-1.932	0.1044	0.1801	139.9	72.49	0	0	4.028	25.9	17.02	91.46	35.68	0	0	27.13	2.504	0.8159	0.3768	0.07123	0.1841	0.6232	0.1128	339.5	156.8	29.64	76.59	259.3	46.95	5.526	-4.526	0.195	0.179	0.6183	0.3503	0.09806	0.3817	0.6497	0.2836	257.3	145.8	40.8	158.8	270.3	118	11.35	55.28	17.25	54.11	14.8	2.757	198.5	65.84	35.38	3.659	11	24.32	25.6	79.42	61.69	35.38	0	123.5	56.61	26.44	90.16	0.3688	6.087	3.974	9.561	424.5	89.86	1.576	6	12	1	57	1	31	21	23	0	0	26	3	5	0	65.13	7	0.2059	12	60	3	34	7	0.2059	45	1.179	36.51	21.96	15.52	17.49	14.07	14.96	8.899	10.48	7.138	6.471	4.612	2.11	0.6804	0.9782	0.4663	11.72	4.476	6.208	2.876	0	0	9.04	2.438	4.223	1.285	0	0	5.226	1.246	2.027	0.8023	0	0.7554	19	12.14	0	2.5	36.31	-0.3051	0	0	0	-0.7366	1.661	0	0	0	9.043	6.056	0	5.202	0.4598	3.677	0	8	1	1	0	3.451	-4.528	11.54	22	1	4	9	0	0.4737	0.9	10	0	4	416.1	561.9	46.6	4.028	0	298.9	25.9	63.57	3242	50	164
1-15	6.62	15.98	2.756	0.03	2.3	2.769	-2.817	-0.563	0.6662	2.748	-2.798	-0.5172	0.7658	2.796	-2.553	-0.4363	0.8153	3.009	1	-0.8522	-0.3835	0.07317	2.831	-0.9725	-0.2921	0.162	2.875	-0.5529	-0.2242	0.2516	3.071	23.17	10.29	5.507	18.65	8.221	4.374	5.112	2.693	-1.693	0.1137	0.1761	119.4	51.24	0	0	4.028	25.9	17.02	91.46	65.26	0	0	27.13	0	0.8155	0.458	0.06759	0.1845	0.542	0.117	327.4	183.9	27.13	74.08	217.6	46.95	5.341	-4.341	0.2018	0.1866	0.6729	0.4306	0.09541	0.3271	0.5694	0.2317	270.1	172.8	38.3	131.3	228.6	93.02	11.2	55.28	6.249	54.11	13.06	2.757	198.5	65.84	39.15	4.304	0	24.32	25.6	79.42	61.69	0	3.501	123.5	56.61	60.34	80.93	0.3782	6.044	3.908	9.469	428.9	88.68	1.673	5	12	1	53	1	30	21	22	1	0	23	3	4	0	62.74	6	0.1818	12	56	3	33	6	0.1818	41	1.193	31.74	21.25	14.52	17.22	13.07	14.42	8.899	10.43	7.138	6.471	4.612	2.194	0.6804	1.099	0.4663	11.32	4.476	6.215	2.876	0	0	8.729	2.438	4.208	1.285	0	0	5.141	1.246	2.099	0.8023	0	0.7902	18	11.92	0	2.365	36.25	-0.307	0	0	0	-0.7398	0	5.941	0	0	9.031	6.035	0	0	0.4592	3.661	0	7	1	1	0	4.087	-5.212	11.41	22	1	4	8	0	0.5	1	9	0	4	401.4	542.8	44.1	4.028	0	288.9	25.9	61.06	2917	48	160
1-16	5.17	12.01	1.997	0.03	2.263	2.21	-2.816	-0.4295	0.597	2.744	-2.813	-0.478	0.6314	2.786	-2.551	-0.4144	0.7179	3.005	1	-0.8603	-0.3731	0.05695	2.744	-0.9727	-0.3315	0.1466	2.756	-0.5529	-0.2287	0.1612	2.975	17.81	7.486	3.819	14	5.817	2.941	3.541	2.399	-1.399	0.1276	0.2182	105.9	34.18	0	0	4.028	25.9	17.02	87.98	11.17	0	0	27.13	0	0.7636	0.403	0.08659	0.2364	0.597	0.1498	239.3	126.3	27.13	74.08	187.1	46.95	4.42	-3.42	0.2438	0.2368	0.5489	0.2937	0.1222	0.4511	0.7063	0.3289	172	92.03	38.3	141.4	221.3	103.1	8.256	55.28	6.249	54.11	6.371	2.757	109.5	65.84	32.9	1.814	0	24.32	25.6	79.42	58.51	32.9	0	52.93	56.61	2.757	80.93	0.4514	5.644	3.419	8.73	318.4	70.14	1.631	5	6	1	43	1	23	14	16	0	0	20	3	4	0	48	4	0.16	6	45	3	25	4	0.16	36	1.545	28.04	16.56	10.83	13.07	10.05	10.97	5.858	7.82	4.963	4.161	3.204	1.786	0.4763	0.8578	0.3485	8.684	2.918	4.774	2.089	0	0	6.555	1.442	3.151	0.8634	0	0	4.328	0.9574	1.705	0.6663	0	0.773	13	4.011	0	0.4276	35.69	-0.3063	0	0	0	-0.707	2.096	0	0	0	8.932	5.465	0	0	0.5284	3.531	0	7	1	1	0	1.707	-2.71	8.378	16	1	3	6	0	0.4615	0.8571	7	0	3	313.4	411.8	44.1	4.028	0	203	25.9	61.06	1260	37	122
1-17	8.06	14.94	2.764	0.277	1.945	2.402	-2.817	-0.567	0.5971	2.748	-2.798	-0.4776	0.6864	2.796	-2.553	-0.4471	0.7206	3.009	0	-0.8523	-0.3897	0.05896	2.818	-1.334	-0.2728	0.1467	2.867	-0.5295	-0.2161	0.1613	3.067	20.28	9.212	4.776	15.36	6.896	3.544	3.922	2.008	-2.008	0.1305	0.1505	97.06	38.54	17.24	0	0	25.9	0	91.46	61.27	0	0	27.13	6.651	0.8366	0.5106	0.09249	0.1634	0.4894	0.07091	305.6	186.5	33.78	59.68	178.7	25.9	4.614	-4.614	0.1179	0.1951	0.6449	0.3669	0.09249	0.3551	0.6331	0.2626	235.6	134	33.78	129.7	231.2	95.91	10.55	47.72	6.249	4.411	9.557	2.757	249.1	65.84	0	3.433	32.9	16.77	0	55.32	61.69	0	0	141.1	56.61	21.2	66.64	0.4102	5.907	3.752	9.167	363.5	75.46	1.451	3	12	0	52	1	27	20	22	0	0	25	3	2	0	60.29	5	0.1667	12	55	2	30	5	0.1667	41	1.197	32.55	18.8	14.65	15.43	13.15	13.11	9.082	9.636	7.227	6.666	4.689	1.694	0.6804	0.891	0.4663	10.18	4.642	5.712	2.932	0	0	8.167	2.63	3.986	1.341	0	0	4.085	1.246	1.793	0.8023	0	0.7083	16	15.49	0	2.786	25.03	0	0	0	0	-0.3886	0	0	0	5.756	0	6.728	0	0	0.5615	3.872	0	5	2	1	0	3.362	-4.152	10.58	22	1	4	7	0	0.5	1	8	0	4	365.3	513.2	27.13	0	17.74	270.6	25.9	44.88	2148	42	144
1-18	8.55	16.34	2.828	0.133	2.426	2.726	-2.817	-0.5688	0.5867	2.748	-2.798	-0.4977	0.6815	2.796	-2.553	-0.4097	0.7154	3.009	0	-0.8523	-0.3993	0.0655	2.836	-0.9975	-0.2837	0.1411	2.884	-0.5295	-0.2203	0.1719	3.087	23.17	10.74	5.88	17.48	8.021	4.357	4.673	2.293	-2.293	0.1142	0.1423	128.6	38.54	0	8.619	12.95	25.9	0	91.46	61.27	0	0	40.7	0.1369	0.8048	0.4742	0.1	0.1952	0.5258	0.09517	328.5	193.6	40.84	79.69	214.6	38.85	4.831	-4.831	0.1178	0.1677	0.6544	0.3456	0.1	0.3456	0.6544	0.2456	267.1	141.1	40.84	141.1	267.1	100.2	11.54	71.59	6.249	4.411	9.557	20.77	216.2	71.1	33.33	3.81	0	40.04	23.86	55.32	61.69	0	0	141.1	56.61	54.52	69.72	0.3782	6.044	3.908	9.473	405.5	84.54	1.483	4	12	0	57	1	30	21	24	0	0	27	3	3	0	65.95	6	0.1818	12	60	3	33	7	0.2121	45	1.198	37.01	21.09	16.23	17.27	14.65	14.51	9.66	10.55	7.727	6.666	4.689	2.018	0.6804	0.9802	0.4663	10.84	4.642	6.008	2.932	0	0	8.919	2.63	4.25	1.341	0	0	4.33	1.246	1.872	0.8023	0	0.7179	18	15.39	0	2.673	36.69	0	0	0	0	-0.6974	1.414	0	0	0	0	6.52	2.664	0	0.5243	3.829	0	6	1	1	0	3.325	-4.64	11.63	22	1	4	8	0	0.5	1	9	0	4	408.2	564.8	40.7	0	5.683	300	38.85	46.38	2914	46	158
