__MOL_ID__	ACTIVITY	moei3D_AM1_E	moei3D_AM1_Eele	moei3D_AM1_HF	moei3D_AM1_HOMO	moei3D_AM1_IP	moei3D_AM1_LUMO	moei3D_AM1_dipole	moei3D_ASA	moei3D_ASA+	moei3D_ASA-	moei3D_ASA_H	moei3D_ASA_P	moei3D_CASA+	moei3D_CASA-	moei3D_DASA	moei3D_DCASA	moei3D_E	moei3D_E_ang	moei3D_E_ele	moei3D_E_nb	moei3D_E_oop	moex3D_E_rnb	moex3D_E_rsol	moex3D_E_rvdw	moei3D_E_sol	moei3D_E_stb	moei3D_E_str	moei3D_E_strain	moei3D_E_tor	moei3D_E_vdw	moei3D_FASA+	moei3D_FASA-	moei3D_FASA_H	moei3D_FASA_P	moei3D_FCASA+	moei3D_FCASA-	moei3D_MNDO_E	moei3D_MNDO_Eele	moei3D_MNDO_HF	moei3D_MNDO_HOMO	moei3D_MNDO_IP	moei3D_MNDO_LUMO	moei3D_MNDO_dipole	moei3D_PM3_E	moei3D_PM3_Eele	moei3D_PM3_HF	moei3D_PM3_HOMO	moei3D_PM3_IP	moei3D_PM3_LUMO	moei3D_PM3_dipole	moei3D_VSA	moei3D_dens	moei3D_dipole	moex3D_dipoleX	moex3D_dipoleY	moex3D_dipoleZ	moei3D_glob	moei3D_pmi	moex3D_pmiX	moex3D_pmiY	moex3D_pmiZ	moei3D_rgyr	moei3D_std_dim1	moei3D_std_dim2	moei3D_std_dim3	moei3D_vol
1-1	6.25	-87190	-640700	0.4389	-9.14	9.14	-0.08439	3.472	626.6	231.2	197.8	564.9	61.73	867.9	742.6	33.38	125.3	61.39	4.98	-2.081	65.58	0.0002384	-7.105e-15	-7.105e-15	0	-9.999	0.5145	2.708	14.16	-12.39	67.66	0.369	0.3157	0.9015	0.09851	1.385	1.185	-87390	-636100	9.739	-9.255	9.255	-0.1436	3.428	-80880	-629300	13.05	-9.099	9.099	-0.328	2.816	374.4	0.9387	0.7996	0.02738	0.2828	-0.7475	0.05161	8569	1334	6597	638	5.155	4.817	1.619	1.094	343.5
1-10	7.52	-96880	-726500	-7.699	-9.104	9.104	-1.051	2.668	623.8	230.5	208	527	96.82	890.6	803.8	22.48	86.86	56.74	20.21	-11.28	47.66	0.001156	0	0	0	-12.95	-0.3045	3.442	14.68	-14.27	58.94	0.3695	0.3335	0.8448	0.1552	1.428	1.289	-97100	-719500	-19.78	-9.253	9.253	-1.095	2.932	-89670	-715400	-34.8	-9.052	9.052	-1.12	2.284	382.4	0.9963	0.6341	-0.3961	0.4951	-0.002897	0.05002	8539	1331	6754	453.8	4.95	4.679	1.621	1.046	349.8
1-11	4.57	-109000	-792500	198.6	-10.78	10.78	-7.268	25.63	612.9	233.1	237	476	136.9	1239	1022	3.878	216.4	172.8	118.4	-103.4	153.7	98.07	98.07	-1.279e-13	98.07	3.928	97.85	108.3	117.9	86.74	159	0.3803	0.3867	0.7766	0.2234	2.021	1.668	-109200	-788200	200.6	-10.62	10.62	-7.442	26.26	-99800	-776300	160.4	-10.85	10.85	-7.192	25.58	367.3	1.076	7.317	-6.842	-2.553	-0.4612	0.06827	8582	6771	1339	471.7	4.84	4.549	1.431	1.189	340.4
1-12	5.52	-112600	-843300	191.3	-10.71	10.71	-7.295	25.46	638.2	239.2	237.8	494.9	143.2	1271	1026	1.426	245.3	179.2	122.6	-104.2	161.7	101.9	101.9	4.263e-14	101.9	7.538	101.8	112.3	122.7	88.68	164	0.3748	0.3726	0.7756	0.2244	1.992	1.607	-112900	-836400	186.5	-10.59	10.59	-7.469	26.32	-103200	-827400	155.3	-10.77	10.77	-7.217	25.31	385.7	1.077	7.282	-6.607	-2.567	-1.671	0.07085	8761	4903	1644	2213	4.799	4.282	1.945	1.14	353.4
1-13	7.9	-116200	-869600	196.6	-10.53	10.53	-7.297	29.58	664.6	242	237.4	513.6	151	1286	1024	4.613	261.9	197.7	140.2	-121.2	181	119.5	119.5	1.421e-14	119.5	28.18	119.3	130	140.2	105.2	182.7	0.3641	0.3572	0.7728	0.2272	1.935	1.541	-116500	-862000	181.3	-10.4	10.4	-7.475	30.55	-106700	-854900	148.9	-10.48	10.48	-7.22	29.37	410.4	1.066	7.922	-0.7263	7.841	0.8577	0.04473	11800	1354	9933	515.1	5.47	5.019	1.755	1.062	370
1-14	6.36	-127100	-968300	146.4	-9.976	9.976	-7.291	32.47	708.5	246.6	224.8	516.6	191.9	1363	1017	21.85	345.5	230.9	145	-124.1	209	119.5	119.5	8.527e-14	119.5	27.76	119	130.2	164.3	105.5	213.6	0.3481	0.3172	0.7291	0.2709	1.923	1.436	-127500	-958400	142.6	-10.08	10.08	-7.473	33.01	-116900	-952400	110.9	-10.09	10.09	-7.222	32.4	437.3	1.067	8.484	-0.8978	8.428	0.3808	0.03913	14370	2177	11500	695.4	5.818	5.271	2.05	1.043	397.8
1-15	6.62	-124500	-916700	184.4	-10.46	10.46	-7.312	33.66	691.6	220.2	286.1	540.5	151	1176	1242	65.96	66.13	197.4	140.3	-122.4	180.5	119.5	119.5	0	119.5	27.87	119.4	130.1	140.4	105.2	183.3	0.3184	0.4138	0.7816	0.2184	1.7	1.796	-124300	-908100	174.1	-10.61	10.61	-7.493	34.73	-113600	-901400	142.3	-10.33	10.33	-7.232	32.91	427.3	1.113	8.702	-1.423	8.58	0.2827	0.04468	14650	2114	11740	798	5.845	5.027	1.78	1.063	385.2
1-16	5.17	-97190	-656500	156.1	-10.56	10.56	-7.301	21.57	556.1	167.9	161.5	380.4	175.7	742	552.2	6.422	189.8	171.5	140	-123.1	155.6	119.5	119.5	1.421e-14	119.5	30.91	119.3	129.7	133.3	104.8	159.2	0.3019	0.2903	0.684	0.316	1.334	0.993	-97490	-650200	152.1	-10.99	10.99	-7.479	22.79	-88900	-642800	122	-10.5	10.5	-7.225	21.58	333.1	1.09	6.321	0.005263	6.227	1.086	0.04102	6549	469.9	5700	379.2	4.536	4.494	1.317	0.9103	292
1-17	8.06	-102000	-772800	-10.28	-9.076	9.076	-0.869	4.027	644.3	260.7	198.3	483.7	160.6	1203	914.9	62.41	287.9	180.1	143.6	-139.6	159.4	119.5	119.5	2.842e-14	119.5	102.1	119	123.1	134.2	112.7	179.6	0.4047	0.3078	0.7508	0.2492	1.867	1.42	-102200	-765900	-19.98	-9.255	9.255	-1.062	3.541	-93770	-761000	-37.61	-9.033	9.033	-1.027	3.199	396.6	1.014	0.6867	-0.3533	0.5884	0.02378	0.04617	9583	1335	7779	469.1	5.135	4.908	1.683	1.055	358.4
1-18	8.55	-115900	-897500	-44.85	-9.062	9.062	-0.9925	3.911	707.4	254.1	205.5	561.8	145.6	1227	992.8	48.57	234.6	190.7	142.8	-144.1	169	119.9	119.9	0	119.9	98.9	119.7	123.8	147.7	114.8	193.2	0.3592	0.2905	0.7942	0.2058	1.735	1.404	-116200	-890500	-56.97	-9.265	9.265	-1.149	4.153	-106700	-883500	-77.87	-9.044	9.044	-1.107	3.266	434.4	1.02	0.7047	0.5463	0.443	-0.04448	0.035	13200	1138	11450	608.1	5.705	5.598	1.747	1.047	397.4
1-19	8.92	-131300	-1073000	-10.7	-9.096	9.096	-1.005	4.598	790.8	318	286.2	659.9	131	1775	1597	31.79	177.4	216.7	143.7	-137.9	194.9	119.8	119.8	5.684e-14	119.8	101.1	119.9	124.3	148.5	113.1	213	0.4021	0.3619	0.8344	0.1656	2.244	2.02	-131600	-1065000	-25.01	-9.257	9.257	-1.136	4.798	-121100	-1056000	-42.52	-9.043	9.043	-1.111	3.955	492.5	1.016	0.8873	0.6333	0.6214	-0.009144	0.02745	19950	1237	18050	672.4	6.533	6.473	1.879	1.072	460.1
1-2	6.77	-90770	-696100	12.57	-9.148	9.148	0.00871	2.707	638.7	237.8	182.9	572.5	66.21	876.2	673.9	54.91	202.3	207.7	105.3	-101.2	207.8	100.1	100.1	-2.842e-14	100.1	93.52	100.7	103	149.3	91.05	208.9	0.3724	0.2864	0.8963	0.1037	1.372	1.055	-90980	-688300	16.77	-9.309	9.309	-0.1235	2.816	-84320	-686200	-5.655	-9.087	9.087	-0.02595	2.3	387.5	0.9376	0.694	0.2818	0.3322	0.5403	0.05527	8833	1837	6495	501.1	5.124	4.816	1.465	1.132	358.9
1-20	8.1	-107900	-820400	-45.87	-9.091	9.091	-0.998	3.916	665	233.4	194.4	527.6	137.4	951.2	792.5	38.95	158.8	208.7	144	-134.9	194.7	119.1	119.1	1.421e-14	119.1	106.7	118.5	122.9	158.9	105.2	210.4	0.3509	0.2923	0.7934	0.2066	1.43	1.192	-108100	-812700	-45.73	-9.246	9.246	-1.075	3.975	-99880	-808800	-72.95	-9.035	9.035	-1.07	3.414	408.9	1.019	0.9368	-0.7083	0.5867	-0.1783	0.0407	10810	1351	8986	473.8	5.345	5.239	1.637	1.057	371.4
1-21	8.66	-134900	-1119000	-13.68	-9.094	9.094	-1.356	4.676	830.7	318.9	298.6	688	142.7	1884	1764	20.33	120.1	198.4	143.3	-139.3	185.4	119.5	119.5	0	119.5	99.22	119.7	124.3	138.8	103.8	205.2	0.3839	0.3594	0.8282	0.1718	2.268	2.123	-135200	-1116000	-27.55	-9.268	9.268	-1.39	3.665	-124500	-1104000	-45.22	-9.062	9.062	-1.45	4.788	518.5	1.008	1.377	-1.199	0.5002	-0.455	0.02807	22320	1651	20070	598.2	6.808	6.897	1.631	1.156	477.6
