__MOL_ID__	ACTIVITY	QikProp_#stars	QikProp_#amine	QikProp_#amide	QikProp_#rotor	QikProp_CNS	QikProp_mol_MW	QikProp_dipole	QikProp_SASA	QikProp_FOSA	QikProp_FISA	QikProp_PISA	QikProp_WPSA	QikProp_volume	QikProp_donorHB	QikProp_accptHB	QikProp_dip^2/V	QikProp_ACxDN^.5/SA	QikProp_glob	QikProp_QPpolrz	QikProp_QPlogPC16	QikProp_QPlogPoct	QikProp_QPlogPw	QikProp_QPlogPo/w	QikProp_QPlogS	QikProp_CIQPlogS	QikProp_QPlogHERG	QikProp_QPPCaco	QikProp_QPlogBB	QikProp_QPPMDCK	QikProp_QPlogKp	QikProp_IP(eV)	QikProp_EA(eV)	QikProp_#metab	QikProp_QPlogKhsa	QikProp_HumanOralAbsorption	QikProp_PercentHumanOralAbsorption	QikProp_SAfluorine	QikProp_SAamideO	QikProp_PSA	QikProp_#NandO	QikProp_RuleOfFive	QikProp_#ringatoms	QikProp_#in34	QikProp_#in56	QikProp_#noncon	QikProp_#nonHatm	QikProp_RuleOfThree	QikProp_ACxDN^.5/SAxSASA/MW
1-1	6.25	0	1	0	6	1	322.449	4.625	662.517	223.294	52.872	386.351	0	1147.044	1	4.5	0.0186448	0.0067923	0.7998734	39.588	12.199	16.861	8.875	4.189	-4.474	-3.677	-7.339	778.78	0.049	417.697	-2.619	9.267	0.237	2	0.599	3	100	0	0	42.207	3	0	18	0	18	5	24	0	0.0139557
1-10	7.52	0	1	0	5	1	348.444	2.524	656.553	207.269	90.054	359.229	0	1161.57	0	5	0.0054862	0	0.8139402	40.552	12.173	16.069	8.177	3.709	-4.007	-4.04	-6.982	345.793	-0.246	173.678	-3.496	9.219	1.162	2	0.44	3	94.1	0	0	64.456	4	0	21	0	21	5	26	0	0
1-11	4.57	1	1	0	3	0	365.388	5.322	634.256	155.529	176.963	301.763	0	1116.258	0	6	0.0253724	0	0.8204965	39.474	11.946	16.922	9.75	2.257	-3.387	-3.936	-6.602	51.839	-0.971	22.332	-5.492	9.467	2.119	3	0.126	3	70.851	0	0	104.97	7	0	21	0	21	5	27	0	0
1-12	5.52	1	1	0	5	-2	379.415	4.7	652.068	173.131	177.467	301.47	0	1166.254	0	6	0.0189429	0	0.8217398	40.188	12.425	17.039	9.353	2.608	-3.399	-4.234	-6.58	51.272	-1.091	22.068	-5.311	9.385	2.147	3	0.186	3	72.817	0	0	104.901	7	0	21	0	21	5	28	0	0
1-13	7.9	1	1	0	6	-2	393.441	5.219	695.337	207.269	186.77	301.299	0	1234.26	0	6	0.0220671	0	0.8002777	42.266	13.158	17.753	9.299	2.959	-4.056	-4.532	-6.927	41.847	-1.344	17.718	-5.387	9.338	2.134	3	0.341	3	73.293	0	0	109.014	7	0	21	0	21	5	29	0	0
1-14	6.36	1	1	0	7	-2	423.468	5.119	720.239	287.062	186.766	246.41	0	1294.733	0	6.75	0.0202357	0	0.7976436	43.52	13.35	18.457	9.503	2.924	-3.972	-4.822	-6.708	41.85	-1.417	17.719	-5.484	9.061	2.129	4	0.274	3	73.089	0	0	117.43	8	0	21	0	21	5	31	0	0
1-15	6.62	1	1	0	6	-2	427.886	6.392	719.521	207.261	186.77	253.766	71.724	1278.658	0	6	0.0319498	0	0.7918163	43.589	13.773	18.607	9.059	3.466	-4.827	-5.263	-6.837	41.847	-1.21	43.784	-5.554	9.389	2.149	3	0.47	3	76.265	0	0	109.014	7	0	21	0	21	5	30	0	0
1-16	5.17	1	1	0	4	-2	317.344	5.347	586.683	281.39	191.481	113.812	0	1014.504	0	6	0.0281817	0	0.8322695	32.965	9.751	14.432	8.235	1.273	-2.323	-2.556	-5.515	37.756	-1.122	15.853	-6.326	9.372	2.14	2	-0.212	3	62.623	0	0	109.656	7	0	15	0	15	5	23	0	0
1-17	8.06	0	1	0	6	0	363.458	5.429	672.266	207.257	151.41	313.598	0	1191.067	1.5	6	0.0247502	0.0109309	0.8083169	40.655	12.911	19.273	11.283	3.01	-4.107	-4.082	-6.855	90.569	-0.945	40.818	-4.692	8.679	0.88	3	0.413	3	79.598	0	0	90.707	5	0	21	0	21	5	27	0	0.0202182
1-18	8.55	0	1	0	6	-2	405.496	5.896	747.668	302.287	147.041	298.34	0	1322.305	1	7.5	0.0262898	0.0100312	0.7792507	45.761	13.991	21.027	12.077	3.219	-4.863	-4.34	-7.253	99.634	-1.014	45.251	-4.665	9.217	1.15	2	0.446	3	81.561	0	0	101.543	6	0	21	0	21	5	30	0	0.0184959
1-19	8.92	1	1	0	7	0	467.566	6.311	835.239	207.259	132.161	495.819	0	1495.829	1	7.5	0.0266271	0.0089795	0.757313	53.949	17.063	24.051	13.309	4.639	-6.255	-5.958	-8.55	137.884	-0.996	64.29	-3.599	9.209	1.148	2	0.862	1	92.399	0	0	97.831	6	0	27	0	27	5	35	1	0.0160406
1-2	6.77	0	1	0	6	1	336.476	4.034	654.815	255.6	35.742	363.473	0	1167.939	0	5	0.0139353	0	0.8190807	40.205	11.879	15.79	7.612	4.089	-3.952	-3.606	-6.919	1132.037	0.245	625.816	-2.384	9.207	0.194	2	0.416	3	100	0	0	32.529	3	0	18	0	18	5	25	0	0
1-20	8.1	0	1	0	6	1	378.47	3.709	681.402	287.061	90.017	304.324	0	1221.933	0	5.75	0.0112552	0	0.8111975	41.801	12.362	16.875	8.381	3.656	-3.923	-4.33	-6.764	346.077	-0.312	173.832	-3.593	9.203	1.109	3	0.372	3	93.801	0	0	72.844	5	0	21	0	21	5	28	0	0
1-21	8.66	3	1	0	8	-2	481.593	6.355	870.603	241.714	134.556	494.334	0	1563.31	1	7.5	0.0258319	0.0086147	0.7482408	55.994	17.785	24.702	13.179	5.044	-6.726	-6.244	-8.689	130.86	-1.122	60.758	-3.552	9.22	1.448	3	0.999	1	81.41	0	0	101.047	6	1	27	0	27	5	36	1	0.0155733
1-22	8.62	1	1	0	7	0	452.552	2.709	791.44	207.263	131.491	452.686	0	1436.826	0	7	0.0051057	0	0.7780663	51.176	15.831	21.078	10.948	4.353	-5.191	-5.683	-8.008	139.919	-0.908	65.316	-3.739	9.257	1.5	2	0.619	3	90.84	0	0	90.748	5	0	27	0	27	5	34	0	0
1-23	8.05	1	1	0	6	-2	393.441	5.567	685.222	207.269	160.118	317.835	0	1221.42	0	6	0.025369	0	0.8064488	41.91	12.953	17.591	9.206	3.079	-3.864	-4.532	-6.906	74.885	-1.041	33.234	-4.837	9.286	1.793	3	0.304	3	78.52	0	0	101.513	7	0	21	0	21	5	29	0	0
1-24	7.96	0	1	0	6	0	363.458	4.303	668.299	207.262	137.371	323.666	0	1186.767	1	5	0.0156036	0.0074817	0.8111567	40.579	12.726	17.811	9.53	3.527	-4.313	-4.491	-6.857	123.058	-0.792	56.852	-4.398	8.599	0.965	4	0.611	3	85.005	0	0	88.41	5	0	21	0	21	5	27	0	0.0137568
1-25	6.47	1	1	0	7	0	467.566	4.538	819.089	207.27	113.698	498.121	0	1483.275	0	6.5	0.0138831	0	0.7679181	53.469	16.524	21.679	10.71	5.076	-5.976	-6.234	-8.389	206.347	-0.745	99.401	-3.251	9.199	1.157	3	0.888	3	85.134	0	0	95.425	6	1	27	0	27	5	35	1	0
1-26	7.89	0	1	0	5	1	349.432	2.428	648.437	207.284	113.14	328.012	0	1146.643	0	6	0.0051431	0	0.8170518	39.657	11.972	16.363	9.087	2.928	-3.33	-3.597	-6.783	208.876	-0.469	100.719	-4.032	9.246	1.425	3	0.129	3	85.61	0	0	76.403	5	0	21	0	21	5	26	0	0
1-29	5.96	0	1	0	5	1	346.471	3.419	664.56	207.404	36.676	420.479	0	1179.068	0	5	0.0099135	0	0.8121887	41.837	12.397	16.412	8.25	4.264	-4.159	-4.058	-7.302	1109.168	0.29	612.162	-2.297	8.596	0.336	2	0.491	3	100	0	0	32.538	3	0	22	0	22	5	26	0	0
1-31a	6.0	0	1	0	5	1	348.487	3.95	670.504	282.971	36.397	351.136	0	1197.482	0	5	0.0130291	0	0.8133477	41.912	12.08	16.377	7.791	4.305	-4.272	-3.971	-6.953	1115.945	0.294	616.206	-2.536	9.223	0.207	3	0.544	3	100	0	0	32.59	3	0	22	0	22	7	26	0	0
1-31b	7.77	0	1	1	5	1	348.487	3.898	675.102	280.269	40.865	353.968	0	1199.343	0	5	0.0126694	0	0.8086454	42.014	12.154	16.416	10.044	3.664	-3.378	-3.331	-5.668	588.113	0.244	554.539	-2.608	9.22	-0.025	4	0.228	3	100	0	29.625	33.336	3	0	22	0	22	7	26	0	0
1-31c	5.8	1	2	0	5	2	334.503	1.35	669.757	311.58	4.824	353.354	0	1189.056	0	4	0.0015322	0	0.8104312	41.596	11.796	15.402	6.604	4.431	-3.562	-3.025	-7.737	554.572	1.01	320.154	-4.009	9.201	-0.341	5	0.788	3	100	0	0	10.863	2	0	22	0	22	8	25	0	0
1-31d	7.64	0	1	0	5	1	362.471	3.971	673.55	247.606	72.966	352.978	0	1199.998	0	5	0.0131436	0	0.8108028	42.03	12.378	16.595	8.059	4.07	-4.329	-4.333	-7.003	502.185	-0.079	259.955	-3.203	9.144	0.724	3	0.552	3	100	0	0	58.166	4	0	22	0	22	6	27	0	0
1-34	5.92	0	1	0	5	1	347.459	2.371	660.481	207.792	59.748	392.941	0	1168.4	0	6	0.0048112	0	0.8122675	41.147	12.263	16.708	9.195	3.515	-3.558	-3.615	-7.17	670.209	0.057	355.127	-2.819	8.929	0.624	3	0.193	3	100	0	0	44.833	4	0	22	0	22	5	26	0	0
1-35	6.1	0	1	0	5	1	349.475	4.877	665.832	247.869	61.463	356.499	0	1181.215	1	6	0.0201362	0.0090113	0.8116211	41.312	12.369	18.38	10.436	3.607	-4.159	-3.809	-7.006	645.568	0.039	341.035	-2.979	8.649	0.082	4	0.436	3	100	0	0	47.958	4	0	22	0	22	6	26	0	0.0171686
1-37	8.38	0	1	0	5	1	363.458	4.641	668.433	203.693	101.453	363.287	0	1181.949	1	5.5	0.018223	0.0082282	0.8087974	41.406	12.708	18.315	10.268	3.571	-4.392	-4.352	-7.085	269.603	-0.373	132.712	-3.692	9.13	0.669	3	0.538	3	91.358	0	0	71.352	5	0	22	0	22	5	27	0	0.0151324
1-38	7.89	0	1	0	5	1	349.475	3.49	668.334	234.442	68.343	365.55	0	1182.384	1	4	0.010302	0.005985	0.8091149	41.445	12.494	17.251	8.581	4.455	-4.951	-4.596	-7.09	555.526	-0.035	289.925	-3.074	8.67	0.009	4	0.843	3	100	0	0	46.557	4	0	22	0	22	6	26	0	0.0114457
1-39	8.35	0	1	0	5	1	397.903	2.446	692.526	203.691	101.436	315.838	71.561	1226.223	1	5.5	0.0048777	0.0079419	0.8000339	42.725	13.314	18.848	10.028	3.976	-5.131	-5.052	-7	269.699	-0.22	327.409	-3.859	9.156	0.912	3	0.654	3	93.734	0	0	71.345	5	0	22	0	22	5	28	0	0.0138224
1-3a	7.46	1	1	0	7	1	398.547	5.313	793.041	172.087	30.886	590.069	0	1386.768	0	5	0.0203525	0	0.7583538	50.485	15.735	19.573	9.232	5.858	-6.268	-5.284	-8.982	1258.653	0.182	701.805	-1.401	8.633	0.405	3	1.009	1	100	0	0	29.239	3	1	24	0	24	5	30	1	0
1-3b	6.23	1	1	0	8	1	428.573	6.342	803.344	252.05	30.869	520.424	0	1441.764	0	5.75	0.0278984	0	0.7682921	51.379	15.705	20.315	9.301	5.77	-5.908	-5.574	-8.489	1259.117	0.131	702.084	-1.55	8.602	0.322	4	0.926	3	100	0	0	37.625	4	1	24	0	24	5	32	1	0
1-3c	7.74	2	1	0	7	1	416.537	4.257	801.971	172.101	30.88	552.212	46.778	1402.759	0	5	0.0129193	0	0.7556634	50.763	15.338	19.729	9.013	6.096	-6.641	-5.666	-8.845	1258.817	0.294	1266.27	-1.534	8.736	0.682	3	1.055	1	100	46.778	0	29.233	3	1	24	0	24	5	31	1	0
1-3d	8.27	2	1	0	8	-2	443.544	5.919	831.86	172.082	127.644	532.135	0	1459.496	0	6	0.0240039	0	0.7480265	52.2	16.788	21.08	10.354	5.108	-6.317	-5.776	-8.873	152.18	-1.041	71.524	-3.292	8.981	1.633	4	0.91	1	82.953	0	0	73.81	6	1	24	0	24	5	33	1	0
1-3e	7.19	1	1	0	7	1	399.535	4.306	761.452	172.133	57.061	532.258	0	1348.091	0	6.5	0.0137561	0	0.7750596	48.385	15.045	19.666	10.419	4.626	-4.884	-4.609	-8.436	710.701	-0.093	378.374	-2.087	8.783	0.666	5	0.496	3	100	0	0	41.484	4	0	24	0	24	5	30	0	0
1-3f	5.03	0	1	0	7	1	404.594	5.004	744.632	378.287	20.212	346.133	0	1367.531	0	5	0.0183085	0	0.8001683	47.385	13.55	18.21	7.384	5.52	-5.351	-5.024	-7.142	1589.006	0.33	902.864	-2.063	8.627	-0.249	4	0.953	3	100	0	0	26.385	3	1	24	0	24	11	30	0	0
1-3g	7.28	0	1	0	6	1	336.476	5.114	643.07	258.401	38.425	346.244	0	1152.424	0	5	0.0226958	0	0.8266375	39.42	11.63	15.645	7.485	4.031	-3.912	-3.606	-6.715	1067.617	0.226	587.413	-2.495	8.659	-0.241	3	0.371	3	100	0	0	30.669	3	0	18	0	18	5	25	0	0
1-3h	6.08	0	1	0	7	1	350.503	4.967	696.343	299.829	30.052	366.462	0	1238.521	0	5	0.0199165	0	0.8009596	42.417	12.551	16.535	7.473	4.292	-4.435	-3.904	-7.226	1281.788	0.228	715.758	-2.173	9.136	-0.195	4	0.579	3	100	0	0	30.801	3	0	18	0	18	5	26	0	0
