__MOL_ID__	LogS	moeGao_Abra_L	moeGao_Abra_R	moeGao_Abra_acidity	moeGao_Abra_basicity	moeGao_Abra_pi	moe2D_BCUT_PEOE_0	moe2D_BCUT_PEOE_1	moe2D_BCUT_PEOE_2	moe2D_BCUT_PEOE_3	moe2D_BCUT_SLOGP_0	moe2D_BCUT_SLOGP_1	moe2D_BCUT_SLOGP_2	moe2D_BCUT_SLOGP_3	moe2D_BCUT_SMR_0	moe2D_BCUT_SMR_1	moe2D_BCUT_SMR_2	moe2D_BCUT_SMR_3	moe2D_FCharge	moe2D_GCUT_PEOE_0	moe2D_GCUT_PEOE_1	moe2D_GCUT_PEOE_2	moe2D_GCUT_PEOE_3	moe2D_GCUT_SLOGP_0	moe2D_GCUT_SLOGP_1	moe2D_GCUT_SLOGP_2	moe2D_GCUT_SLOGP_3	moe2D_GCUT_SMR_0	moe2D_GCUT_SMR_1	moe2D_GCUT_SMR_2	moe2D_GCUT_SMR_3	moe2D_Kier1	moe2D_Kier2	moe2D_Kier3	moe2D_KierA1	moe2D_KierA2	moe2D_KierA3	moe2D_KierFlex	moe2D_PEOE_PC+	moe2D_PEOE_PC-	moe2D_PEOE_RPC+	moe2D_PEOE_RPC-	moe2D_PEOE_VSA+0	moe2D_PEOE_VSA+1	moe2D_PEOE_VSA+2	moe2D_PEOE_VSA+3	moe2D_PEOE_VSA+4	moe2D_PEOE_VSA+5	moe2D_PEOE_VSA+6	moe2D_PEOE_VSA-0	moe2D_PEOE_VSA-1	moe2D_PEOE_VSA-2	moe2D_PEOE_VSA-3	moe2D_PEOE_VSA-4	moe2D_PEOE_VSA-5	moe2D_PEOE_VSA-6	moe2D_PEOE_VSA_FHYD	moe2D_PEOE_VSA_FNEG	moe2D_PEOE_VSA_FPNEG	moe2D_PEOE_VSA_FPOL	moe2D_PEOE_VSA_FPOS	moe2D_PEOE_VSA_FPPOS	moe2D_PEOE_VSA_HYD	moe2D_PEOE_VSA_NEG	moe2D_PEOE_VSA_PNEG	moe2D_PEOE_VSA_POL	moe2D_PEOE_VSA_POS	moe2D_PEOE_VSA_PPOS	moe2D_Q_PC+	moe2D_Q_PC-	moe2D_Q_RPC+	moe2D_Q_RPC-	moe2D_Q_VSA_FHYD	moe2D_Q_VSA_FNEG	moe2D_Q_VSA_FPNEG	moe2D_Q_VSA_FPOL	moe2D_Q_VSA_FPOS	moe2D_Q_VSA_FPPOS	moe2D_Q_VSA_HYD	moe2D_Q_VSA_NEG	moe2D_Q_VSA_PNEG	moe2D_Q_VSA_POL	moe2D_Q_VSA_POS	moe2D_Q_VSA_PPOS	moe2D_SMR	moe2D_SMR_VSA0	moe2D_SMR_VSA1	moe2D_SMR_VSA2	moe2D_SMR_VSA3	moe2D_SMR_VSA4	moe2D_SMR_VSA5	moe2D_SMR_VSA6	moe2D_SMR_VSA7	moe2D_SlogP	moe2D_SlogP_VSA0	moe2D_SlogP_VSA1	moe2D_SlogP_VSA2	moe2D_SlogP_VSA3	moe2D_SlogP_VSA4	moe2D_SlogP_VSA5	moe2D_SlogP_VSA6	moe2D_SlogP_VSA7	moe2D_SlogP_VSA8	moe2D_SlogP_VSA9	moe2D_TPSA	moe2D_VAdjEq	moe2D_VAdjMa	moe2D_VDistEq	moe2D_VDistMa	moe2D_Weight	moe2D_a_IC	moe2D_a_ICM	moe2D_a_acc	moe2D_a_aro	moe2D_a_base	moe2D_a_count	moe2D_a_don	moe2D_a_heavy	moe2D_a_hyd	moe2D_a_nBr	moe2D_a_nC	moe2D_a_nCl	moe2D_a_nF	moe2D_a_nH	moe2D_a_nI	moe2D_a_nN	moe2D_a_nO	moe2D_a_nP	moe2D_a_nS	moe2D_apol	moe2D_b_1rotN	moe2D_b_1rotR	moe2D_b_ar	moe2D_b_count	moe2D_b_double	moe2D_b_heavy	moe2D_b_rotN	moe2D_b_rotR	moe2D_b_single	moe2D_b_triple	moe2D_balabanJ	moe2D_bpol	moe2D_chi0	moe2D_chi0_C	moe2D_chi0v	moe2D_chi0v_C	moe2D_chi1	moe2D_chi1_C	moe2D_chi1v	moe2D_chi1v_C	moeGao_chi2_C	moeGao_chi2v_C	moeGao_chi3c	moeGao_chi3c_C	moeGao_chi3cv	moeGao_chi3cv_C	moeGao_chi3p	moeGao_chi3p_C	moeGao_chi3pv	moeGao_chi3pv_C	moeGao_chi4c	moeGao_chi4c_C	moeGao_chi4ca	moeGao_chi4ca_C	moeGao_chi4cav	moeGao_chi4cav_C	moeGao_chi4cv	moeGao_chi4cv_C	moeGao_chi4pc	moeGao_chi4pc_C	moeGao_chi4pcv	moeGao_chi4pcv_C	moe2D_chiral	moe2D_chiral_u	moe2D_density	moe2D_diameter	moe2D_kS_X	moe2D_kS_aaCH	moe2D_kS_aaN	moe2D_kS_aaNH	moe2D_kS_aaO	moe2D_kS_aaS	moe2D_kS_aaaC	moe2D_kS_aasC	moe2D_kS_aasN	moe2D_kS_dCH2	moe2D_kS_dNH	moe2D_kS_dO	moe2D_kS_dS	moe2D_kS_ddC	moe2D_kS_ddsN	moe2D_kS_ddssS	moe2D_kS_dsCH	moe2D_kS_dsN	moe2D_kS_dssC	moe2D_kS_dssS	moe2D_kS_dsssP	moe2D_kS_sBr	moe2D_kS_sCH3	moe2D_kS_sCl	moe2D_kS_sF	moe2D_kS_sI	moe2D_kS_sNH2	moe2D_kS_sOH	moe2D_kS_sSH	moe2D_kS_ssCH2	moe2D_kS_ssNH	moe2D_kS_ssO	moe2D_kS_ssS	moe2D_kS_sssCH	moe2D_kS_sssN	moe2D_kS_ssssC	moe2D_kS_ssssN	moe2D_kS_tCH	moe2D_kS_tNH	moe2D_kS_tsC	moe2D_lip_acc	moe2D_lip_don	moe2D_lip_druglike	moe2D_lip_violation	moe2D_logP(o/w)	moe2D_logS	moe2D_mr	moe2D_opr_brigid	moe2D_opr_leadlike	moe2D_opr_nring	moe2D_opr_nrot	moe2D_opr_violation	moe2D_petitjean	moe2D_petitjeanSC	moe2D_radius	moe2D_reactive	moe2D_rings	moe2D_vdw_area	moe2D_vdw_vol	moe2D_vsa_acc	moe2D_vsa_base	moe2D_vsa_don	moe2D_vsa_hyd	moe2D_vsa_other	moe2D_vsa_pol	moe2D_weinerPath	moe2D_weinerPol	moe2D_zagreb
109-66-0	-3.18	2.269	0.04	0.03	0.085	0.127	-2.62	0.02298	0.02643	2.547	-2.444	0.123	0.123	2.722	-2.37	0.1057	0.1057	2.798	0	-0.8013	-0.137	-0.1336	2.066	-0.6154	-0.037	-0.037	2.223	-0.5316	-0.0543	-0.0543	2.279	5	4	4	5	4	4	4	0.2959	-0.2959	0.08958	0.2206	51.18	0	0	0	0	0	0	0	63.6	0	0	0	0	0	1	0.5541	0	0	0.4459	0	114.8	63.6	0	0	51.18	0	0	0	0	0	1	0	0	0	1	0	114.8	0	0	0	114.8	0	2.52	0	0	0	0	0	56.61	0	66.65	2.197	0	0	0	0	0	0	0	0	56.61	66.65	0	0.9044	3	1.846	4.146	72.15	14.86	0.874	0	0	0	17	0	5	5	0	5	0	0	12	0	0	0	0	0	16.8	2	0.5	0	16	0	4	2	0.5	16	0	2.191	13.12	4.121	4.121	4.121	4.121	2.414	2.414	2.414	2.414	1.354	1.354	0	0	0	0	0.7071	0.7071	0.7071	0.7071	0	0	0.3536	0.3536	0.3536	0.3536	0	0	0	0	0	0	0	0	0.5304	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.424	0	0	0	0	0	0	4.076	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3.497	-2.418	2.533	0	1	0	2	0	0.5	1	2	0	0	114.8	136	0	0	0	106.2	0	0	20	2	14
287-92-3	-2.64	2.625	0.248	0.03	0.071	0.277	-2.472	-0.2232	0.2934	2.696	-2.3	-0.1195	0.3982	2.872	-2.226	-0.1285	0.3917	2.953	0	-0.7979	-0.2268	-0.0397	2.179	-0.6154	-0.1174	0.06163	2.337	-0.5314	-0.1197	0.05175	2.398	3.2	1.44	0.64	3.2	1.44	0.64	0.9216	0.2653	-0.2653	0.1	0.2	42.65	0	0	0	0	0	0	0	43.51	0	0	0	0	0	1	0.5049	0	0	0.4951	0	86.16	43.51	0	0	42.65	0	0	0	0	0	1	0	0	0	1	0	86.16	0	0	0	86.16	0	2.308	0	0	0	0	0	94.34	0	0	1.95	0	0	0	0	0	0	0	0	94.34	0	0	0.971	3.322	1	4.24	70.13	13.77	0.9183	0	0	0	15	0	5	5	0	5	0	0	10	0	0	0	0	0	15.47	0	0	0	15	0	5	0	0	15	0	2.083	10.93	3.536	3.536	3.536	3.536	2.5	2.5	2.5	2.5	1.768	1.768	0	0	0	0	1.25	1.25	1.25	1.25	0	0	0.1768	0.1768	0.1768	0.1768	0	0	0	0	0	0	0	0	0.5742	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3.003	-2.315	2.349	5	1	1	1	0	0	0	2	0	1	86.16	122.1	0	0	0	79.04	0	0	15	0	20
110-54-3	-3.84	2.768	0.04	0.03	0.085	0.127	-2.654	0.02298	0.02652	2.581	-2.478	0.123	0.123	2.756	-2.403	0.1057	0.1057	2.834	0	-0.8025	-0.137	-0.1335	2.174	-0.6169	-0.037	-0.037	2.331	-0.532	-0.0543	-0.0543	2.388	6	5	5.333	6	5	5.333	5	0.349	-0.349	0.07599	0.187	59.72	0	0	0	0	0	0	0	72.3	0	0	0	0	0	1	0.5477	0	0	0.4523	0	132	72.3	0	0	59.72	0	0	0	0	0	1	0	0	0	1	0	132	0	0	0	132	0	2.982	0	0	0	0	0	75.47	0	66.65	2.587	0	0	0	0	0	0	0	0	75.47	66.65	0	0.8524	3.322	2.149	4.704	86.18	17.63	0.8813	0	0	0	20	0	6	6	0	6	0	0	14	0	0	0	0	0	19.9	3	0.6	0	19	0	5	3	0.6	19	0	2.339	15.3	4.828	4.828	4.828	4.828	2.914	2.914	2.914	2.914	1.707	1.707	0	0	0	0	0.9571	0.9571	0.9571	0.9571	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0.537	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.464	0	0	0	0	0	0	5.536	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4.109	-2.933	2.993	0	1	0	3	0	0.4	0.6667	3	0	0	132	160.5	0	0	0	122.1	0	0	35	3	18
107-83-5	-3.74	2.59	0.025	0.03	0.103	0.088	-2.679	0.02298	0.0266	2.606	-2.536	0.123	0.123	2.753	-2.427	0.1057	0.1057	2.86	0	-0.8049	-0.137	-0.1334	2.212	-0.6763	-0.037	-0.037	2.35	-0.5342	-0.0543	-0.0543	2.426	6	3.2	5.333	6	3.2	5.333	3.2	0.344	-0.344	0.08591	0.1898	59.72	0	0	0	0	0	0	0	73.65	0	0	0	0	0	1	0.5522	0	0	0.4478	0	133.4	73.65	0	0	59.72	0	0	0	0	0	1	0	0	0	1	0	133.4	0	0	0	133.4	0	2.975	0	0	4.411	0	0	37.74	0	99.98	2.443	0	0	0	0	4.411	0	0	0	37.74	99.98	0	0.8524	3.322	1.909	4.742	86.18	17.63	0.8813	0	0	0	20	0	6	6	0	6	0	0	14	0	0	0	0	0	19.9	2	0.4	0	19	0	5	2	0.4	19	0	2.627	15.3	4.992	4.992	4.992	4.992	2.77	2.77	2.77	2.77	2.183	2.183	0.4082	0.4082	0.4082	0.4082	0.866	0.866	0.866	0.866	0	0	0.5774	0.5774	0.5774	0.5774	0	0	0.2887	0.2887	0.2887	0.2887	0	0	0.537	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.729	0	0	0	0	0	0	2.706	0	0	0	0.8981	0	0	0	0	0	0	0	0	1	0	4.025	-2.933	2.959	0	1	0	2	0	0.5	1	2	0	0	133.4	160.5	0	0	0	122.1	0	0	32	3	20
75-83-2	-3.55	2.356	0.019	0.03	0.136	0.048	-2.721	0.02299	0.02349	2.648	-2.583	0.123	0.123	2.787	-2.466	0.1057	0.1057	2.904	0	-0.809	-0.137	-0.1365	2.271	-0.6817	-0.037	-0.037	2.407	-0.5349	-0.0543	-0.0543	2.487	6	1.633	5.333	6	1.633	5.333	1.633	0.3339	-0.3339	0.08017	0.194	59.72	0	0	0	0	0	0	0	83.69	0	0	0	0	0	1	0.5836	0	0	0.4164	0	143.4	83.69	0	0	59.72	0	0	0	0	0	1	0	0	0	1	0	143.4	0	0	0	143.4	0	2.975	0	0	0	0	0	18.87	0	133.3	2.443	0	0	0	0	0	0	0	0	18.87	133.3	0	0.8524	3.322	1.506	4.798	86.18	17.63	0.8813	0	0	0	20	0	6	6	0	6	0	0	14	0	0	0	0	0	19.9	0	0	0	19	0	5	1	0.2	19	0	3.168	15.3	5.207	5.207	5.207	5.207	2.561	2.561	2.561	2.561	2.914	2.914	1.561	1.561	1.561	1.561	1.061	1.061	1.061	1.061	0.3536	0.3536	0	0	0	0	0.3536	0.3536	1.061	1.061	1.061	1.061	0	0	0.537	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.938	0	0	0	0	0	0	1.271	0	0	0	0	0	0.5417	0	0	0	0	0	0	1	0	3.982	-2.933	2.911	0	1	0	1	0	0.3333	0.5	2	0	0	143.4	160.5	0	0	0	133.4	0	0	28	3	24
110-82-7	-3.1	3.124	0.248	0.03	0.071	0.277	-2.769	-0.2232	0.265	2.696	-2.592	-0.1195	0.3685	2.872	-2.513	-0.1285	0.3602	2.953	0	-0.7995	-0.2267	-0.04014	2.293	-0.6154	-0.1173	0.0607	2.451	-0.5293	-0.1194	0.05009	2.512	4.167	2.222	1.333	4.167	2.222	1.333	1.543	0.3183	-0.3183	0.08333	0.1667	51.18	0	0	0	0	0	0	0	52.21	0	0	0	0	0	1	0.5049	0	0	0.4951	0	103.4	52.21	0	0	51.18	0	0	0	0	0	1	0	0	0	1	0	103.4	0	0	0	103.4	0	2.77	0	0	0	0	0	113.2	0	0	2.341	0	0	0	0	0	0	0	0	113.2	0	0	0.9183	3.585	1.522	4.782	84.16	16.53	0.9183	0	0	0	18	0	6	6	0	6	0	0	12	0	0	0	0	0	18.56	0	0	0	18	0	6	0	0	18	0	2	13.12	4.243	4.243	4.243	4.243	3	3	3	3	2.121	2.121	0	0	0	0	1.5	1.5	1.5	1.5	0	0	1.061	1.061	1.061	1.061	0	0	0	0	0	0	0	0	0.5742	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3.615	-2.831	2.808	6	1	1	2	0	0	0	3	0	1	103.4	146.6	0	0	0	94.85	0	0	27	3	24
96-37-7	-3.3	2.946	0.233	0.03	0.089	0.238	-2.582	-0.1766	0.2234	2.737	-2.452	-0.07788	0.3186	2.888	-2.333	-0.08159	0.3175	2.994	0	-0.805	-0.2153	-0.06954	2.312	-0.6812	-0.1114	0.02525	2.452	-0.5366	-0.109	0.01887	2.532	4.167	1.633	0.9796	4.167	1.633	0.9796	1.134	0.3128	-0.3128	0.0953	0.1995	51.18	0	0	0	0	0	0	0	53.55	0	0	0	0	0	1	0.5113	0	0	0.4887	0	104.7	53.55	0	0	51.18	0	0	0	0	0	1	0	0	0	1	0	104.7	0	0	0	104.7	0	2.763	0	0	4.411	0	0	75.47	0	33.33	2.196	0	0	0	0	4.411	0	0	0	75.47	33.33	0	0.9183	3.585	1.429	4.796	84.16	16.53	0.9183	0	0	0	18	0	6	6	0	6	0	0	12	0	0	0	0	0	18.56	0	0	0	18	0	6	0	0	18	0	2.184	13.12	4.406	4.406	4.406	4.406	2.894	2.894	2.894	2.894	2.39	2.39	0.2887	0.2887	0.2887	0.2887	1.644	1.644	1.644	1.644	0	0	0.5526	0.5526	0.5526	0.5526	0	0	0.4082	0.4082	0.4082	0.4082	0	0	0.5742	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34	0	0	0	0	0	0	5.947	0	0	0	1.046	0	0	0	0	0	0	0	0	1	0	3.531	-2.831	2.781	5	1	1	1	0	0.3333	0.5	2	0	1	104.7	146.6	0	0	0	94.85	0	0	26	2	26
142-82-5	-4.53	3.267	0.04	0.03	0.085	0.127	-2.677	0.02298	0.02653	2.604	-2.501	0.123	0.123	2.78	-2.425	0.1057	0.1057	2.858	0	-0.8029	-0.137	-0.1335	2.262	-0.6176	-0.037	-0.037	2.419	-0.5319	-0.0543	-0.0543	2.476	7	6	6	7	6	6	6	0.4021	-0.4021	0.06598	0.1624	68.25	0	0	0	0	0	0	0	81	0	0	0	0	0	1	0.5427	0	0	0.4573	0	149.2	81	0	0	68.25	0	0	0	0	0	1	0	0	0	1	0	149.2	0	0	0	149.2	0	3.443	0	0	0	0	0	94.34	0	66.65	2.977	0	0	0	0	0	0	0	0	94.34	66.65	0	0.8031	3.585	2.398	5.169	100.2	20.39	0.8865	0	0	0	23	0	7	7	0	7	0	0	16	0	0	0	0	0	22.99	4	0.6667	0	22	0	6	4	0.6667	22	0	2.447	17.49	5.536	5.536	5.536	5.536	3.414	3.414	3.414	3.414	2.061	2.061	0	0	0	0	1.207	1.207	1.207	1.207	0	0	0.6768	0.6768	0.6768	0.6768	0	0	0	0	0	0	0	0	0.5419	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.491	0	0	0	0	0	0	7.009	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4.722	-3.448	3.452	0	1	0	4	0	0.5	1	3	0	0	149.2	184.9	0	0	0	137.9	0	0	56	4	22
108-87-2	-3.85	3.445	0.233	0.03	0.089	0.238	-2.803	-0.1779	0.2198	2.731	-2.651	-0.0793	0.3156	2.885	-2.547	-0.08273	0.313	2.988	0	-0.8012	-0.2159	-0.06784	2.411	-0.6747	-0.1117	0.02673	2.554	-0.5309	-0.1094	0.02102	2.63	5.143	2.344	1.5	5.143	2.344	1.5	1.722	0.3659	-0.3659	0.08148	0.1706	59.72	0	0	0	0	0	0	0	62.25	0	0	0	0	0	1	0.5104	0	0	0.4896	0	122	62.25	0	0	59.72	0	0	0	0	0	1	0	0	0	1	0	122	0	0	0	122	0	3.225	0	0	4.411	0	0	94.34	0	33.33	2.587	0	0	0	0	4.411	0	0	0	94.34	33.33	0	0.8631	3.807	1.761	5.255	98.19	19.28	0.9183	0	0	0	21	0	7	7	0	7	0	0	14	0	0	0	0	0	21.66	0	0	0	21	0	7	0	0	21	0	2.123	15.3	5.113	5.113	5.113	5.113	3.394	3.394	3.394	3.394	2.743	2.743	0.2887	0.2887	0.2887	0.2887	1.894	1.894	1.894	1.894	0	0	1.307	1.307	1.307	1.307	0	0	0.4082	0.4082	0.4082	0.4082	0	0	0.5742	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36	0	0	0	0	0	0	7.437	0	0	0	1.036	0	0	0	0	0	0	0	0	1	0	4.144	-3.346	3.24	6	1	1	2	0	0.25	0.3333	3	0	1	122	171	0	0	0	110.7	0	0	42	5	30
111-65-9	-5.24	3.766	0.04	0.03	0.085	0.127	-2.694	0.02298	0.02653	2.621	-2.518	0.123	0.123	2.797	-2.441	0.1057	0.1057	2.876	0	-0.803	-0.137	-0.1335	2.335	-0.6179	-0.037	-0.037	2.492	-0.5318	-0.0543	-0.0543	2.549	8	7	7.2	8	7	7.2	7	0.4551	-0.4551	0.05829	0.1434	76.78	0	0	0	0	0	0	0	89.7	0	0	0	0	0	1	0.5388	0	0	0.4612	0	166.5	89.7	0	0	76.78	0	0	0	0	0	1	0	0	0	1	0	166.5	0	0	0	166.5	0	3.905	0	0	0	0	0	113.2	0	66.65	3.367	0	0	0	0	0	0	0	0	113.2	66.65	0	0.7579	3.807	2.61	5.568	114.2	23.15	0.8905	0	0	0	26	0	8	8	0	8	0	0	18	0	0	0	0	0	26.08	5	0.7143	0	25	0	7	5	0.7143	25	0	2.53	19.68	6.243	6.243	6.243	6.243	3.914	3.914	3.914	3.914	2.414	2.414	0	0	0	0	1.457	1.457	1.457	1.457	0	0	0.8536	0.8536	0.8536	0.8536	0	0	0	0	0	0	0	0	0.5457	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.512	0	0	0	0	0	0	8.488	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5.335	-3.963	3.911	0	1	0	5	0	0.4286	0.75	4	0	0	166.5	209.3	0	0	0	153.7	0	0	84	5	26
