__MOL_ID__	LogS	QikProp_#stars	QikProp_#amine	QikProp_#amidine	QikProp_#acid	QikProp_#amide	QikProp_#rotor	QikProp_#rtvFG	QikProp_CNS	QikProp_mol_MW	QikProp_dipole	QikProp_SASA	QikProp_FOSA	QikProp_FISA	QikProp_PISA	QikProp_WPSA	QikProp_volume	QikProp_donorHB	QikProp_accptHB	QikProp_dip^2/V	QikProp_ACxDN^.5/SA	QikProp_glob	QikProp_QPpolrz	QikProp_QPlogPC16	QikProp_QPlogPoct	QikProp_QPlogPw	QikProp_QPlogPo/w	QikProp_QPlogS	QikProp_CIQPlogS	QikProp_QPlogHERG	QikProp_QPPCaco	QikProp_QPlogBB	QikProp_QPPMDCK	QikProp_QPlogKp	QikProp_IP(eV)	QikProp_EA(eV)	QikProp_#metab	QikProp_QPlogKhsa	QikProp_HumanOralAbsorption	QikProp_PercentHumanOralAbsorption	QikProp_SAfluorine	QikProp_SAamideO	QikProp_PSA	QikProp_#NandO	QikProp_RuleOfFive	QikProp_#ringatoms	QikProp_#in34	QikProp_#in56	QikProp_#noncon	QikProp_#nonHatm	QikProp_RuleOfThree	QikProp_ACxDN^.5/SAxSASA/MW
109-66-0	-3.18	14	0	0	0	0	2	0	2	72.15	0.036	298.992	298.992	0	0	0	435.673	0	0	3e-06	0	0.9295627	9.997	2.243	1.877	-1.594	3.39	-3.18	-3.218	-2.672	9906.038	0.791	5899.293	-0.236	11.44	-3.51	0	-0.202	3	100	0	0	0	0	0	0	0	0	0	5	0	0
287-92-3	-2.64	15	0	0	0	0	0	0	2	70.134	0.054	271.722	271.722	0	0	0	390.504	0	0	7.6e-06	0	0.9508781	9.474	1.979	1.798	-1.105	3	-2.642	-2.749	-2.327	9906.038	0.736	5899.293	-0.546	11.219	-3.621	0	-0.248	3	100	0	0	0	0	0	5	0	5	5	5	0	0
110-54-3	-3.84	13	0	0	0	0	3	0	2	86.177	0	331.397	331.397	0	0	0	495.469	0	0	0	0	0.9137506	11.748	2.749	2.424	-1.741	3.649	-3.607	-2.974	-2.928	9906.038	0.856	5899.293	-1.231	11.418	-3.432	0	-0.071	3	100	0	0	0	0	0	0	0	0	0	6	0	0
107-83-5	-3.74	13	0	0	0	0	2	0	2	86.177	0.053	318.73	318.73	0	0	0	480.845	0	0	5.7e-06	0	0.9312767	11.805	2.779	2.509	-1.626	2.739	-2.738	-2.821	-2.644	9906.038	0.83	5899.293	-1.327	11.398	-3.505	0	-0.071	3	100	0	0	0	0	0	0	0	0	0	6	0	0
75-83-2	-3.55	14	0	0	0	0	1	0	2	86.177	0.144	302.369	302.369	0	0	0	462.847	0	0	4.45e-05	0	0.9570159	11.727	2.88	2.558	-1.666	3.6	-3.644	-3.5	-2.228	9906.038	0.797	5899.293	-0.049	11.572	-3.6	0	-0.081	3	100	0	0	0	0	0	0	0	0	0	6	0	0
110-82-7	-3.1	15	0	0	0	0	0	0	2	84.161	0	291.848	291.848	0	0	0	434.099	0	0	0	0	0.9500222	11.219	2.473	2.403	-1.089	2.863	-3.115	-3.202	-2.341	9906.038	0.776	5899.293	-0.246	11.316	-3.537	0	-0.122	3	100	0	0	0	0	0	6	0	6	6	6	0	0
96-37-7	-3.3	14	0	0	0	0	0	0	2	84.161	0.1	298.339	298.339	0	0	0	444.571	0	0	2.26e-05	0	0.9442418	11.638	2.522	2.541	-0.98	2.839	-3.062	-2.444	-2.434	9906.038	0.789	5899.293	-1.52	11.238	-3.554	0	-0.091	3	100	0	0	0	0	0	5	0	5	5	6	0	0
142-82-5	-4.53	11	0	0	0	0	4	0	2	100.203	0.037	363.811	363.811	0	0	0	555.268	0	0	2.4e-06	0	0.8980313	13.499	3.257	2.972	-1.89	4.349	-4.22	-3.596	-3.182	9906.038	0.921	5899.293	-1.135	11.411	-3.374	0	0.06	3	100	0	0	0	0	0	0	0	0	0	7	0	0
108-87-2	-3.85	12	0	0	0	0	0	0	2	98.188	0.026	317.464	317.464	0	0	0	487.122	0	0	1.4e-06	0	0.9431109	13.341	2.985	3.134	-0.958	3.137	-4.348	-3.752	-2.453	9906.038	0.828	5899.293	0.118	11.259	-3.471	0	0.032	3	100	0	0	0	0	0	6	0	6	6	7	0	0
111-65-9	-5.24	11	0	0	0	0	5	0	2	114.23	0	396.22	396.22	0	0	0	615.065	0	0	0	0	0.8827611	15.25	3.774	3.52	-2.048	4.403	-4.37	-4.218	-3.429	9906.038	0.985	5899.293	-1.039	11.41	-3.329	0	0.191	3	100	0	0	0	0	0	0	0	0	0	8	0	0
291-64-5	-3.52	14	0	0	0	0	0	0	2	98.188	0.053	308.241	308.241	0	0	0	471.845	0	0	5.9e-06	0	0.9509151	12.729	2.907	2.932	-1.106	3.025	-2.933	-2.728	-2.326	9906.038	0.809	5899.293	-1.52	11.147	-3.486	0	-0.012	3	100	0	0	0	0	0	7	0	0	7	7	0	0
292-64-8	-4.15	11	0	0	0	0	0	0	2	112.214	0.18	325.004	325.004	0	0	0	508.415	0	0	6.35e-05	0	0.9478836	14.193	3.272	3.441	-1.048	4.429	-4.127	-3.973	-2.375	9906.038	0.843	5899.293	0.264	10.646	-3.508	0	0.094	3	100	0	0	0	0	0	8	0	0	8	8	0	0
109-68-2	-2.54	12	0	0	0	0	1	0	2	70.134	0.063	292.961	271.993	0	20.968	0	420.078	0	0	9.4e-06	0	0.925925	10.216	2.165	2.017	-0.896	2.199	-2.526	-2.189	-2.831	9906.038	0.737	5899.293	-1.35	9.904	-1.24	2	-0.205	3	100	0	0	0	0	0	0	0	0	0	5	0	0
142-29-0	-2.1	13	0	0	0	0	0	0	2	68.118	0.244	261.675	170.728	0	90.948	0	369.898	0	0	0.0001609	0	0.9523366	9.518	2.394	1.969	-0.334	2.363	-1.574	-1.667	-2.737	9906.038	0.534	5899.293	-1.199	9.786	-1.271	2	-0.308	3	100	0	0	0	0	0	5	0	5	3	5	0	0
592-41-6	-3.23	11	0	0	0	0	3	0	2	84.161	0.287	322.834	276.987	0	45.847	0	478.588	0	0	0.0001727	0	0.9165581	11.511	2.911	2.424	-1.392	3.374	-3.309	-2.798	-3.101	9906.038	0.747	5899.293	-1.07	10.295	-1.241	1	-0.12	3	100	0	0	0	0	0	0	0	0	0	6	0	0
691-37-2	-3.24	11	0	0	0	0	2	0	2	84.161	0.265	310.521	265.485	0	45.036	0	464.613	0	0	0.0001508	0	0.9342603	11.586	2.948	2.513	-1.287	2.711	-2.708	-2.652	-2.811	9906.038	0.724	5899.293	-1.169	10.285	-1.25	1	-0.118	3	100	0	0	0	0	0	0	0	0	0	6	0	0
14686-13-6	-3.82	9	0	0	0	0	3	0	2	98.188	0.074	357.686	336.749	0	20.937	0	539.597	0	0	1.02e-05	0	0.8961414	13.714	3.211	3.112	-1.225	3.603	-3.567	-3.433	-3.312	9906.038	0.866	5899.293	-1.158	9.902	-1.229	2	0.057	3	100	0	0	0	0	0	0	0	0	0	7	0	0
591-49-1	-3.27	10	0	0	0	0	0	0	2	96.172	0.234	314.794	281.05	0	33.744	0	474.904	0	0	0.0001152	0	0.9351379	13.174	2.995	3.118	-0.512	2.805	-2.655	-2.76	-2.742	9906.038	0.755	5899.293	-1.401	9.63	-1.31	3	-0.003	3	100	0	0	0	0	0	6	0	6	4	7	0	0
111-66-0	-4.44	9	0	0	0	0	5	0	2	112.214	0.292	387.653	341.807	0	45.847	0	598.18	0	0	0.0001422	0	0.8856786	15.013	3.938	3.519	-1.7	4.199	-4.169	-4.043	-3.6	9906.038	0.876	5899.293	-0.878	10.298	-1.237	1	0.142	3	100	0	0	0	0	0	0	0	0	0	8	0	0
124-11-8	-5.05	8	0	0	0	0	6	0	2	126.241	0.3	420.06	374.212	0	45.849	0	657.973	0	0	0.0001367	0	0.8709477	16.763	4.466	4.067	-1.868	4.553	-5.242	-4.665	-3.839	9906.038	0.941	5899.293	-0.782	10.299	-1.236	1	0.273	3	100	0	0	0	0	0	0	0	0	0	9	0	0
592-42-7	-2.68	11	0	0	0	0	3	0	2	82.145	0.124	314.299	222.603	0	91.696	0	461.701	0	0	3.35e-05	0	0.9191714	11.273	3.07	2.419	-1.039	3.046	-2.655	-2.622	-3.277	9906.038	0.638	5899.293	-0.908	10.223	-1.126	2	-0.169	3	100	0	0	0	0	0	0	0	0	0	6	0	0
78-79-5	-2.03	12	0	0	0	0	1	0	2	68.118	0.331	270.483	183.042	0	87.441	0	388.96	0	0	0.0002816	0	0.9527118	9.605	2.6	1.959	-0.818	2	-2.507	-1.865	-2.714	9906.038	0.558	5899.293	-1.115	9.4	-0.33	1	-0.295	3	100	0	0	0	0	0	0	0	0	0	5	0	0
106-99-0	-1.87	13	0	0	0	0	1	0	2	54.091	0	248.228	143.639	0	104.588	0	341.422	0	0	0	0	0.9517209	7.866	2.136	1.382	-0.649	1.987	-1.821	-1.37	-2.812	9906.038	0.48	5899.293	-1.055	9.506	-0.31	0	-0.433	3	100	0	0	0	0	0	0	0	0	0	4	0	0
628-41-1	-1.97	12	0	0	0	0	0	0	1	80.129	0.232	276.348	113.271	0	163.076	0	398.794	0	0	0.0001351	0	0.9481468	11.363	3.191	2.721	0.378	2.698	-2.335	-1.967	-3.149	9906.038	0.419	5899.293	-0.945	9.532	-1.195	2	-0.224	3	100	0	0	0	0	0	6	0	6	2	6	0	0
138-86-3	-4.0	7	0	0	0	0	1	0	2	136.236	0.439	382.102	316.74	0	65.362	0	613.906	0	0	0.0003145	0	0.9142257	18.397	4.508	4.933	-0.286	3.911	-4.007	-4.206	-3.232	9906.038	0.826	5899.293	-1.193	9.629	-1.182	5	0.358	3	100	0	0	0	0	0	6	0	6	4	10	0	0
627-19-0	-1.64	13	0	0	0	0	2	0	2	68.118	0.779	281.515	222.444	0	59.072	0	395.838	0.5	0	0.0015345	0	0.9261358	8.967	2.261	2.361	-0.048	1.983	-1.659	-1.937	-3.009	9906.038	0.637	5899.293	-1.119	10.949	-2.013	1	-0.41	3	100	0	0	0	0	0	0	0	0	0	5	0	0
693-02-7	-2.36	12	0	0	0	0	3	0	2	82.145	0.779	313.927	254.853	0	59.074	0	455.638	0.5	0	0.0013305	0	0.912186	10.719	2.804	2.906	-0.23	2.363	-2.171	-2.559	-3.235	9906.038	0.702	5899.293	-1.023	10.949	-2.009	1	-0.279	3	100	0	0	0	0	0	0	0	0	0	6	0	0
628-71-7	-3.01	11	0	0	0	0	4	0	2	96.172	0.804	346.335	287.26	0	59.075	0	515.432	0.5	0	0.0012537	0	0.8976689	12.469	3.336	3.452	-0.402	3.713	-2.557	-3.181	-3.47	9906.038	0.767	5899.293	-0.927	10.949	-2.005	1	-0.148	3	100	0	0	0	0	0	0	0	0	0	7	0	0
9/3/52	-4.24	9	0	0	0	0	6	0	2	124.225	0.813	411.152	352.08	0	59.073	0	635.024	0.5	0	0.0010417	0	0.8690051	15.971	4.407	4.545	-0.752	4.4	-4.863	-4.426	-3.933	9906.038	0.897	5899.293	-0.735	10.951	-2.002	1	0.114	3	100	0	0	0	0	0	0	0	0	0	9	0	0
71-43-2	-1.64	13	0	0	0	0	0	0	1	78.113	0	264.196	0	0	264.196	0	376.819	0	0	0	0	0.9549805	11.449	3.732	2.926	1.136	2.129	-1.641	-1.671	-3.52	9906.038	0.192	5899.293	-0.589	9.818	-0.415	0	-0.288	3	100	0	0	0	0	0	6	0	6	0	6	0	0
108-88-3	-2.21	10	0	0	0	0	0	0	1	92.14	0.385	295.725	87.876	0	207.85	0	435.841	0	0	0.0003407	0	0.9400734	13.273	3.837	3.449	0.923	2.727	-2.218	-2.353	-3.493	9906.038	0.368	5899.293	-0.787	9.544	-0.421	1	-0.117	3	100	0	0	0	0	0	6	0	6	0	7	0	0
