__MOL_ID__	MTP	QikProp_#stars	QikProp_#amine	QikProp_#amidine	QikProp_#acid	QikProp_#amide	QikProp_#rotor	QikProp_#rtvFG	QikProp_CNS	QikProp_mol_MW	QikProp_dipole	QikProp_SASA	QikProp_FOSA	QikProp_FISA	QikProp_PISA	QikProp_WPSA	QikProp_volume	QikProp_donorHB	QikProp_accptHB	QikProp_dip^2/V	QikProp_ACxDN^.5/SA	QikProp_glob	QikProp_QPpolrz	QikProp_QPlogPC16	QikProp_QPlogPoct	QikProp_QPlogPw	QikProp_QPlogPo/w	QikProp_QPlogS	QikProp_CIQPlogS	QikProp_QPlogHERG	QikProp_QPPCaco	QikProp_QPlogBB	QikProp_QPPMDCK	QikProp_QPlogKp	QikProp_IP(eV)	QikProp_EA(eV)	QikProp_#metab	QikProp_QPlogKhsa	QikProp_HumanOralAbsorption	QikProp_PercentHumanOralAbsorption	QikProp_SAfluorine	QikProp_SAamideO	QikProp_PSA	QikProp_#NandO	QikProp_RuleOfFive	QikProp_#ringatoms	QikProp_#in34	QikProp_#in56	QikProp_#noncon	QikProp_#nonHatm	QikProp_RuleOfThree	QikProp_ACxDN^.5/SAxSASA/MW
O=C1Cc2ccccc21	14.0	3	0	0	0	0	0	1	1	118.135	3.979	315.285	62.483	68.666	184.136	0	471.648	0	2	0.0335636	0	0.9294094	14.48	4.437	5.689	4.167	1.139	-1.145	-0.829	-3.552	2211.754	0.034	1166.728	-2.136	9.97	0.552	1	-0.548	3	93.476	0	0	33.178	1	0	8	4	4	1	9	0	0
Clc1ccc(cc1)C1c2c(OC(N)=C1C#N)[nH][nH0]c2C(F)(F)F	20.5	0	0	0	0	0	2	0	-1	340.692	9.489	493.438	8.852	182.416	134.362	167.808	861.06	3	3.5	0.1045791	0.0122856	0.8870632	28.305	9.127	17.881	10.52	2.388	-5.164	-6.337	-4	184.521	-0.691	661.123	-4.216	9.016	0.539	1	0.075	3	81.488	96.083	0	88.418	5	0	15	0	15	1	23	0	0.0177937
O=C(OC)C(=Cc1ccccc1)Cc1ccccc1	27.5	0	0	0	0	0	5	1	1	252.312	1.771	520.065	141.476	20.888	357.701	0	889.676	0	2	0.0035244	0	0.8601919	29.656	9.136	10.353	4.413	4.4	-4.211	-4.223	-5.5	6277.96	0.074	3603.275	-0.164	9.096	0.486	1	0.453	3	100	0	0	24.774	2	0	12	0	12	0	19	0	0
FC(F)(F)c1[nH0]cc2ccccc2c1	30.5	3	0	0	0	0	0	0	2	197.159	5.821	382.927	0.835	15.168	242.27	124.653	605.199	0	1	0.0559883	0	0.9036115	20.38	4.861	7.922	3.42	3.344	-3.524	-3.395	-4.247	7113.121	0.746	10000	-0.946	9.609	1.263	1	0.107	3	100	124.653	0	10.672	1	0	10	0	10	0	14	0	0
O=C(OC1Cc2ccccc21)C	31.0	2	0	0	0	0	1	1	1	162.188	2.458	394.34	173.959	43.48	176.902	0	618.391	0	2	0.0097677	0	0.8901628	19.641	5.428	6.924	3.917	2.262	-2.48	-1.7	-4.153	3833.39	0.137	2114.142	-1.602	9.653	-0.18	2	-0.164	3	100	0	0	37.056	2	0	8	4	4	2	12	0	0
O=C(OC)C1=Cc2ccccc2C1C	31.5	0	0	0	0	0	1	0	1	188.226	2.803	427.919	177.894	49.389	200.636	0	693.524	0	2	0.0113261	0	0.8854785	22.875	6.396	8.141	4.199	2.885	-3.116	-2.617	-4.342	3369.337	0.083	1838.921	-1.627	9.366	0.734	1	0.054	3	100	0	0	34.235	2	0	9	0	9	1	14	0	0
O=C(C)c1cccc(c1)C(=O)C	32.0	2	0	0	0	0	2	0	0	162.188	3.714	387.56	163.949	101.653	121.958	0	614.669	0	4	0.0224402	0	0.9020972	18.326	5.519	7.908	5.672	0.644	-1.187	-1.021	-3.698	1076.273	-0.39	535.617	-2.771	10.254	0.835	0	-0.753	3	84.984	0	0	56.418	2	0	6	0	6	0	12	0	0
Nc1ccccc1CCc1ccccc1N	33.0	0	0	0	0	0	5	0	-1	212.294	3.649	459.154	53.146	74.376	331.632	0	766.435	3	2	0.0173688	0.0075445	0.8821113	24.475	8.903	13.351	8.847	2.63	-2.606	-3.155	-5.021	1952.523	-0.375	1019.647	-1.242	8.144	-0.462	6	-0.132	3	100	0	0	46.481	2	0	12	0	12	0	16	0	0.0163174
c1ccc2c(c1)CCc1ccccc12	34.0	6	0	0	0	0	0	0	1	180.249	0.49	407.931	91.708	0	316.223	0	666.376	0	0	0.0003605	0	0.904465	23.534	6.736	7.158	2.545	4.481	-5.664	-4.752	-4.586	9906.038	0.375	5899.293	-0.406	8.883	0.261	2	0.552	3	100	0	0	0	0	0	14	0	14	2	14	0	0
O=C1Cc2cccc(OC)c21	35.0	1	0	0	0	0	1	1	0	148.161	5.225	342.234	142.036	69.541	130.658	0	533.192	0	2.75	0.0512003	0	0.9291736	15.79	4.746	6.678	4.393	1.106	-1.1	-1.119	-3.301	2169.937	-0.034	1142.903	-2.245	9.382	0.491	2	-0.612	3	93.138	0	0	41.72	2	0	8	4	4	1	11	0	0
